issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,4,"Amended to, awarded","| 2       | **Amended to,<br>awarded** for the first time in Summer 2028. | 1           |",ErrorCategory.STYLISTIC_PREFERENCE,85,"The phrasing 'Amended to, awarded' is grammatically awkward and could be rephrased for clarity and conciseness, such as 'Amended: Awarded' or 'Amended to reflect award'."
1,8,Social,2.5.2 Racial and **Social** policies c.1933–c.1939,ErrorCategory.CONSISTENCY_ERROR,90,"Capitalisation of 'Social' is inconsistent with other descriptive sub-headings in the document (e.g., 'modern nationalism'). It should be lowercase."
2,8,Economic,2.5.3 Religious and **Economic** policies c.1934–c.1939,ErrorCategory.CONSISTENCY_ERROR,90,"Capitalisation of 'Economic' is inconsistent with other descriptive sub-headings in the document (e.g., 'modern nationalism'). It should be lowercase."
3,9,US,"Consider the legacy of WWI in France, Britain, **US** and Germany in relation to the Treaty of Versailles.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The definite article 'the' is required before 'US' when referring to the country.
4,9,counties,"Learners can show their understanding of the role of the Treaty of Versailles and its reception by relevant **counties**. They can analyse the weaknesses of the Weimar Constitution, understanding political challenges.",ErrorCategory.SPELLING_ERROR,98,The word 'counties' is a misspelling of 'countries' in this context.
5,9,post-World War One,"Conduct a primary source analysis of post-war propaganda, relating this to sentiments in Germany **post-World War One**.<br>Analyse the positives and negatives of Stresemann's economic reforms.",ErrorCategory.STYLISTIC_PREFERENCE,85,"For consistency and formality in a historical document, 'World War I' or 'First World War' is preferred over 'World War One', especially given 'Second World War' is used elsewhere."
6,9,Munich Putsch,"The founding of the German Workers' Party (DAP) in 1919, Hitler's early involvement, the Nazi Party's rebranding, the 1920s Lean Years, **Munich Putsch** and Hitler's use of propaganda.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The definite article 'the' is required before 'Munich Putsch' as it refers to a specific historical event.
7,9,RalliesPropagandaNazi Bamberg ConferenceGausElections,Create a timeline of the structural changes implemented during the Lean Years of 1924-1929 including:<br>**RalliesPropagandaNazi Bamberg ConferenceGausElections**Create a comic-book strip to understand the Munich Putsch.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"This is a run-on list of items that should be separated by commas or presented as a bulleted list. Additionally, 'Gaus' should be 'Gaue' (plural of Gau)."
8,11,Post-War,Learners recognise **Post-War** tensions and<br>how this correlates with the genesis of<br>extremist groups in Weimar Germany.,ErrorCategory.STYLISTIC_PREFERENCE,85,'Post-war' is generally written in lowercase unless it is part of a proper noun or title in British English.
9,12,centralize,Understand how these<br>events allowed Hitler<br>and the Nazi Party to<br>gain and **centralize**<br>power.,ErrorCategory.SPELLING_ERROR,95,"British English typically uses the '-ise' suffix for verbs like 'centralise' (OED, Collins)."
10,12,anti Semitism,"Understand how the<br>Nazi racial policies,<br>especially **anti Semitism**, were<br>institutionalised,<br>targeting Jews and<br>other minorities.",ErrorCategory.CONSISTENCY_ERROR,95,"The term 'anti-Semitism' should be hyphenated for consistency and correct spelling, as used elsewhere in the document ('anti-Semitic rhetoric') (OED, Collins)."
11,18,including:the,"changing policies towards religion **including:the** Concordat with the Catholic Church, the reaction within the Protestant Church and the emergence of the Confessional Churchthe development of the National Reich Church.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A space is missing after the colon, causing a run-on word and hindering readability."
