issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,1,Qualifications Wales regulated qualification,Ready for the world. This **Qualifications Wales regulated qualification** is not available to centres in England.,ErrorCategory.STYLISTIC_PREFERENCE,85,The compound adjective 'Qualifications Wales-regulated' should ideally be hyphenated when preceding the noun 'qualification' for clarity in British English.
1,5,Aethelred's,"This marriage had been arranged as part of **Aethelred's** attempts to improve English relations with Normandy. But Æthelred had sons from his first marriage, and when he died in 1016, he did so in the midst of a battle for the throne between his eldest surviving son, Edmund Ironside, and Cnut the Great of Denmark.",ErrorCategory.CONSISTENCY_ERROR,95,The name 'Æthelred' is consistently spelled with an 'Æ' elsewhere in the document; 'Aethelred's' is an inconsistent capitalisation.
2,5,Edmund though died,"Edmund Ironside, and Cnut the Great of Denmark. **Edmund though died** shortly afterwards, and at his death, Cnut succeeded to the kingdom of England.",ErrorCategory.STYLISTIC_PREFERENCE,85,"The phrasing 'Edmund though died' is awkward; it would be more natural as 'Edmund, though, died' or 'Edmund died, though, shortly afterwards'."
3,5,… and had promised he would be,King Edward loved William like a brother **… and had promised he would be** the next king of England. He sent Harold over to Duke William to repeat the promise … Harold swore an oath to be loyal and obedient to William.,ErrorCategory.STYLISTIC_PREFERENCE,80,"The use of an ellipsis in this context, which appears to be a summary or paraphrase rather than a direct, truncated quote, is stylistically inappropriate and can be confusing."
4,5,… Harold swore an oath,He sent Harold over to Duke William to repeat the promise **… Harold swore an oath** to be loyal and obedient to William. This solemn promise was made in the usual sacred Christian way.,ErrorCategory.STYLISTIC_PREFERENCE,80,"The use of an ellipsis in this context, which appears to be a summary or paraphrase rather than a direct, truncated quote, is stylistically inappropriate and can be confusing."
5,6,the channel,"Probably in that year he set out to cross **the channel**. The reasons for this journey are not known for certain, but most historians have assumed that he was sent by Edward to confirm William's succession, and that he had, by this time, accepted it as inevitable.",ErrorCategory.CONSISTENCY_ERROR,95,"When referring to the English Channel, 'Channel' should be capitalised as it is a proper noun."
6,6,Count Guy,"If this is so, he arrived in Normandy by a circuitous route since, apparently because of adverse weather, he landed in Ponthieu, was captured by **Count Guy**, and then ransomed.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Titles such as 'Count' should be capitalised when used directly before a proper name.
7,6,papal court,"William's version was more widely accepted, partly because he was represented at the **papal court** and Harold was not.",ErrorCategory.CONSISTENCY_ERROR,90,'Papal court' refers to a specific institution associated with the Pope and should be capitalised for consistency and formality.
8,6,king of Norway,"On 20 September 1066 a great army led by Harald Hardrada, **king of Norway**, and Tostig, the deposed Earl of Northumbria and Harold's own brother, defeated an English army near York and took the city.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Titles such as 'King' should be capitalised when used as a specific title with a name or country.
9,6,Earl of Northumbria,"On 20 September 1066 a great army led by Harald Hardrada, king of Norway, and Tostig, the deposed **Earl of Northumbria** and Harold's own brother, defeated an English army near York and took the city.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Titles such as 'Earl' should be capitalised when used as a specific title with a place.
