issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,1,Example teaching pack Modern,Guidance for Teaching: Unit 4 - A Changing Society **Example teaching pack Modern**,ErrorCategory.STYLISTIC_PREFERENCE,85,The placement of 'Modern' makes the phrase awkward and its intended modification unclear; it could refer to 'A Changing Society' or 'Example teaching pack'.
1,3,A changing society,# GCSE History Unit 4: **A changing society**,ErrorCategory.CONSISTENCY_ERROR,95,The unit title 'A changing society' is inconsistently capitalised here compared to 'A Changing Society' on page 1.
2,7,was,"It is an extraordinary fact that the fundamental economic problems of a Europe starving and disintegrating before their eyes, **was** the one question in which it was impossible to arouse the interest of the Four.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The plural subject 'problems' requires the plural verb 'were' for subject-verb agreement.
3,7,is already been achieved,"We rejoice in the measure of cooperation which **is already been achieved** by America and Britain with other nations at Washington in the limitation of naval armaments, and at Geneva in the humanitarian measures to put an end to the detestable traffic in women and children.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The correct auxiliary verb for the present perfect passive voice is 'has', not 'is', so it should be 'has already been achieved'."
4,7,Britons after major economic depression in the 1930s.,"These issues then combined with an event in the USA – the Wall Street Crash – that had economic repercussions around the world, and as a consequence **Britons after major economic depression in the 1930s**.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The sentence is incomplete and lacks a main verb after 'Britons', making it a grammatical fragment."
5,9,March,"On 14 October 1932, a nationwide hunger **March** began with the aim of converging in London.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"'March' should be lowercase as it is a common noun in this context, not a proper noun."
6,9,375 March is set off from the front the Rhondda area.,"From South Wales, **375 March is set off from the front the Rhondda area**.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This phrase contains multiple grammatical errors; 'March' should be 'marchers', 'is set off' should be 'set off', and 'from the front the Rhondda area' is awkward and should be 'from the Rhondda area'."
7,9,cut unemployment benefits,"The intention is to present a petition to Parliament, demanding the abolition of the means test and the end of the ten per cent **cut unemployment benefits**.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A preposition is missing after 'cut'; it should be 'cut in unemployment benefits' or 'cut to unemployment benefits'.
8,10,unemployment between,The years between the two wars were dominated by the shadow of **unemployment between** 1921 and 1931 there were never less than 1 000 000 people out of work;,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This is a comma splice, joining two independent clauses without proper punctuation or a conjunction."
9,10,Booths,A New Survey of London Life and Labour (1928) based on [Charles] **Booths** survey showed that real wages had increased one third since the 1880s.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,'Booths' should be possessive 'Booth's'.
10,10,find,[Seebohm] Rowntree **find** a similar increase in York.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The verb 'find' should be in the past tense, 'found', to match the historical context."
11,10,the cinema on the wireless,"People enjoyed a higher standard of living with more money to be spent on better housing, more food and entertainment, especially **the cinema on the wireless**",ErrorCategory.AMBIGUOUS_PHRASING,85,The phrasing 'the cinema on the wireless' is grammatically awkward and unclear; it should likely be 'the cinema and the wireless' or similar to list two forms of entertainment.
12,12,use,"When the First World War occurred, from 1914 to 1918, many people **use** the phrase 'the war that will end war'.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The verb 'use' should be in the past tense, 'used', to match the historical context."
13,12,believe,"Many **believe** that the newly created peacekeeping organisation, the League of Nations, would ensure this.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The verb 'believe' should be in the past tense, 'believed', to match the historical context."
