issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,4,world history 3,**GCSE History – Unit 3 A study of a period in **world history 3**: Early modern**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"The repetition of '3' in the title ""Unit 3 A study of a period in world history 3: Early modern"" is redundant and grammatically awkward; it should likely be ""Unit 3: A study of a period in world history – Early modern""."
1,4,section A,Answer all questions in **either** **section A** **or** Section B.,ErrorCategory.CONSISTENCY_ERROR,95,"The capitalisation of ""section A"" is inconsistent with ""Section B"" in the same sentence and elsewhere in the document."
2,5,people. **[5]** Explain,- Describe the cultural practices of the Songhai **people. [5]** Explain why Sonni Ali's military campaigns between 1468 and 1492 were important. **[10] 0 1 0 2**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"Two independent clauses (questions) are joined without a conjunction or proper punctuation, creating a run-on sentence."
3,5,century**. [15]**,- **b)** Compare **and** contrast Item 1 and Item 2 as evidence for a historian studying Timbuktu during the Golden Age of Songhai in the sixteenth **century**. [15]**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"There is an extraneous asterisk after ""century"", which is a formatting error."
4,6,[5],"- **a)** Describe the events of the Battle of Tondibi in 1591. **[5]**

**[5]**",ErrorCategory.STYLISTIC_PREFERENCE,90,"The mark allocation `[5]` is repeated unnecessarily after the question, as it is already included within the question itself."
5,6,[20],"**b)** Evaluate the view in **Item 3** that the Songhai Empire collapsed due to defeat by the Moroccans at the Battle of Tondibi in 1591. **[20]**

**[20]**",ErrorCategory.STYLISTIC_PREFERENCE,90,"The mark allocation `[20]` is repeated unnecessarily after the question, as it is already included within the question itself."
6,9,however; the use,Marks should be awarded using the full range of marks defined in the mark scheme for the question (**however; the use** of the full mark range may be limited according to the quality of the candidate responses seen).,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A semicolon is used incorrectly here; 'however' as a conjunctive adverb should be preceded by a semicolon or a full stop when joining two independent clauses, but 'the use of the full mark range...' is not an independent clause in this construction. A comma after 'however' would be appropriate, or restructuring the sentence."
7,9,him/her,"It should be remembered that candidates are writing under examination conditions and credit should be given for what the candidate writes, rather than adopting the approach of penalising **him/her** for any omissions.",ErrorCategory.STYLISTIC_PREFERENCE,85,Using gender-neutral language such as 'them' or 'candidates' is generally preferred in modern educational documents for inclusivity and improved flow.
8,9,two parts; the indicative content,For band-marked questions mark schemes are in **two parts; the indicative content** and the assessment grid.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A colon should be used to introduce a list of items following an independent clause, rather than a semicolon."
9,10,is appropriate,Examiners are reminded of the need to revisit the answer as they apply the mark scheme in order to confirm that the band and the mark allocated **is appropriate** to the response provided.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The compound subject 'the band and the mark allocated' requires a plural verb 'are appropriate'.
