issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,have decided,Qualifications Wales **have decided** that these qualifications will be introduced in a phased way; WJEC is now developing the qualifications that are to be available for first teaching from September 2025 to meet these requirements.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"'Qualifications Wales' is a singular entity (an organisation), and therefore requires the singular verb 'has decided' for subject-verb agreement."
1,4,nonexamination,This was particularly prevalent in qualifications where the **nonexamination** assessment is either new or significantly increased.,ErrorCategory.SPELLING_ERROR,98,The term 'non-examination' is a compound adjective and should be hyphenated in British English.
2,5,nonexamination,"Some stakeholders felt that **nonexamination** assessment can further disadvantage some learners, for example, those who do not have support or access to adequate resources at home.",ErrorCategory.SPELLING_ERROR,98,The term 'non-examination' is a compound adjective and should be hyphenated in British English.
3,5,"assess fairly, or","Respondents noted that they felt that appropriate controls should be in place to ensure that all schools **assess fairly, or** there could be a lack of confidence in qualification results which would consequently mean learner attainment would have less value associated with it.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This is a comma splice, joining two independent clauses with only a comma. A conjunction (e.g., 'or else') or a semicolon is required."
4,5,maximalise,"However, one stakeholder group had a different view on what impacted equity, requesting that the GCSEs have a range of assessment methods, focusing on competency-based continuous assessment methods, rather than coursework or mini-tests, to **maximalise** equity.",ErrorCategory.SPELLING_ERROR,95,'Maximalise' is not a standard British English word; the correct term is 'maximise'.
5,5,Qualification Wales,"When we submit our qualifications to **Qualification Wales** for approval, we must stipulate how we have managed the balance of manageability, engagement, reliability and validity.",ErrorCategory.CONSISTENCY_ERROR,95,"The official name is 'Qualifications Wales' (plural), as used consistently elsewhere in the document."
6,6,decision making,"Whilst these are clearly very important considerations, we now propose that we put learner equity at the heart of our design and **decision making** in relation to non-examination assessments.",ErrorCategory.STYLISTIC_PREFERENCE,80,"As a compound noun, 'decision-making' is typically hyphenated in British English for clarity and consistency."
7,6,nonexamination,"Where this is the case, scanning and uploading of **nonexamination** assessment could be time-consuming, particularly when considering the scale of non-examination assessment across the suite of qualifications.",ErrorCategory.SPELLING_ERROR,98,The term 'non-examination' is a compound adjective and should be hyphenated in British English.
8,6,Spring,We are undertaking further focused work to explore in more detail and will clarify our expectations in the **Spring**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"Seasons (spring, summer, autumn, winter) are generally not capitalised in British English unless part of a proper noun."
9,9,marks*.,"The Approval Criteria note that as part of the devising unit, learners must submit a reflective log in a non-prescribed format; this will be compulsory to access the full range of **marks*.** Our specification writers are aware of the concerns raised within the consultation and are working to ensure that the reflective log does not impede learners' creativity and enthusiasm within the devising unit.",ErrorCategory.SPELLING_ERROR,95,"Extraneous asterisk character at the end of the sentence, likely an OCR artifact or typographical error."
10,9,states,The Approval Criteria **states** that 30% of the qualification must be assessed by external examination which must include questions on unprepared works.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,Subject-verb agreement error; 'Criteria' is a plural noun and requires the plural verb 'state'.
