issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,1,well deserved,Welcome back! We hope you enjoyed a **well deserved** break over the summer.,ErrorCategory.SPELLING_ERROR,95,The compound adjective 'well-deserved' requires hyphenation when placed before the noun it modifies in British English.
1,1,it is vital it is,This information will be used to despatch examination papers to centres so **it is vital it is** as accurate as possible.,ErrorCategory.STYLISTIC_PREFERENCE,85,The repetition of 'it is' creates a clunky sentence structure; rephrasing would improve clarity and flow.
2,1,Portal,Your learners' scripts will be available to download from **Portal** from results day onwards.,ErrorCategory.CONSISTENCY_ERROR,90,"As 'Portal' refers to a specific system, it should be consistently capitalised as a proper noun throughout the document."
3,1,opportunities,## Autumn Term Professional Learning **opportunities**,ErrorCategory.CONSISTENCY_ERROR,88,"As part of a specific heading or initiative name, 'Opportunities' should be capitalised for consistency with other capitalised words in similar headings."
4,1,reports,"This integrated suite of resources and training brings together free access to Principal Examiner **reports**, marked scripts, and online assessment feedback sessions.",ErrorCategory.CONSISTENCY_ERROR,88,The capitalisation of 'reports' is inconsistent; it is lowercase here but uppercase in 'Principal Examiner Reports' later in the document.
5,1,summer,"Free online assessment feedback sessions based on the **summer** 2025 series are being held in November for Biology, Chemistry and Physics.",ErrorCategory.CONSISTENCY_ERROR,88,'Summer' should be capitalised when referring to a specific academic term or assessment series for consistency.
6,1,opportunities,Here are some key dates for your diaries including information on upcoming Professional Learning **opportunities**.,ErrorCategory.CONSISTENCY_ERROR,88,"As part of a specific initiative name, 'Opportunities' should be capitalised for consistency with other capitalised words in similar headings."
7,2,training on demand,"This asynchronous module will be<br>on the ""**training on demand**"" tab<br>of your qualification page on the<br>WJEC website.",ErrorCategory.CONSISTENCY_ERROR,88,"If 'training on demand' refers to a specific tab name, it should be consistently capitalised as 'Training on Demand'."
8,2,Options evening flyers,Parent / **Options evening flyers**<br>Available from end of September<br>2025,ErrorCategory.CONSISTENCY_ERROR,88,"If 'Options evening flyers' refers to a specific document or event, 'Evening' and 'Flyers' should be capitalised for consistency."
9,2,before start of study,To support you to provide<br>information to parents and<br>learners **before start of study**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A definite article 'the' is missing before 'start of study'.
10,2,autumn term,Available 2nd half **autumn term**<br>2025.,ErrorCategory.CONSISTENCY_ERROR,88,'Autumn Term' should be capitalised when referring to a specific academic term for consistency.
11,2,Townhall,They will be<br>hosted on Teams Live (**Townhall**).,ErrorCategory.CONSISTENCY_ERROR,88,'TownHall' should be capitalised if it is part of a specific product or feature name for consistency.
12,2,English medium,There will be **English medium** and Welsh medium<br>events (except for English and<br>Welsh qualifications).,ErrorCategory.SPELLING_ERROR,95,'English-medium' is a compound adjective and requires hyphenation.
13,2,Welsh medium,There will be English medium and **Welsh medium**<br>events (except for English and<br>Welsh qualifications).,ErrorCategory.SPELLING_ERROR,95,'Welsh-medium' is a compound adjective and requires hyphenation.
14,2,face-to face,* Preparing to Teach (**face-to<br>face**),ErrorCategory.SPELLING_ERROR,95,The compound adjective should be hyphenated as 'face-to-face'.
15,2,head teacher,Registrations for the Pan Wales<br>INSET days will be collected via<br>your **head teacher**.,ErrorCategory.SPELLING_ERROR,95,'Headteacher' is typically written as one word in British English.
16,2,Welsh medium,"held across Wales, including 2<br>**Welsh medium** days and 1<br>bilingual day.",ErrorCategory.SPELLING_ERROR,95,'Welsh-medium' is a compound adjective and requires hyphenation.
17,2,head teacher,Registrations will<br>be collected via your **head<br>teacher**/head of centre.,ErrorCategory.SPELLING_ERROR,95,'Headteacher' is typically written as one word in British English.
18,2,Walk-throughs,Exam and NEA **Walk-throughs**<br>Available summer Term 2026,ErrorCategory.STYLISTIC_PREFERENCE,85,'Walkthroughs' is more commonly written as a single word as a noun.
19,2,summer,Available **summer** Term 2026,ErrorCategory.CONSISTENCY_ERROR,88,'Summer' should be capitalised when referring to a specific academic term for consistency.
20,3,mathematics and physics,"An important point to make here is that Canolfan Bedwyr consulted with WJEC, **mathematics and physics** subject specialists, the national literacy tests specialist panel and teachers who currently teach these subjects in secondary schools.",ErrorCategory.CONSISTENCY_ERROR,90,'Mathematics' and 'Physics' should be capitalised as they are proper nouns referring to specific academic subjects.
21,3,national literacy tests,...the **national literacy tests** specialist panel and teachers who currently teach these subjects in secondary schools.,ErrorCategory.CONSISTENCY_ERROR,90,"'National Literacy Tests' should be capitalised as it refers to a specific, named set of tests."
22,3,etc).,...speed limits **etc).** 'Buanedd' is an old historical term which doesn't form part of everyday language.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Punctuation error; the full stop should be placed after the closing parenthesis when 'etc.' ends a sentence.
23,3,national numeracy tests,"The recent **national numeracy tests** are such an example, where a decision has to be made as to which term to use, with these tests being given to primary and secondary pupils.",ErrorCategory.CONSISTENCY_ERROR,90,"'National Numeracy Tests' should be capitalised as it refers to a specific, named set of tests, consistent with 'National Literacy Tests'."
24,3,despite the fact that,This problem will continue **despite the fact that** changes will be coming to these tests over the next few years.,ErrorCategory.STYLISTIC_PREFERENCE,80,'Despite the fact that' is wordy and can be concisely replaced with 'despite' or 'even though'.
25,3,that is keeping,It would follow modern terminology principles (**that is keeping** familiar words for familiar concepts),ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma or colon is required after 'that is' to introduce the explanatory phrase.
26,3,"therefore, 'cyflymder'","Based on the recommendations of Canolfan Bedwyr **therefore, 'cyflymder'** (speed) and 'felosedd' (velocity) will be used in the following new qualifications:",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The adverb 'therefore' requires commas around it when used parenthetically in the middle of a sentence.
27,3,specification teaching,- GCSE Mathematics and Numeracy (double award) **specification teaching** from 2025,ErrorCategory.STYLISTIC_PREFERENCE,85,"The phrasing 'specification teaching from' is slightly awkward; 'specification, teaching from' or 'specification for teaching from' would improve clarity."
28,3,specification teaching,- Level 2 Additional Mathematics **specification teaching** from 2026,ErrorCategory.STYLISTIC_PREFERENCE,85,"The phrasing 'specification teaching from' is slightly awkward; 'specification, teaching from' or 'specification for teaching from' would improve clarity."
29,3,(double award) teaching,- GCSE The Sciences **(double award) teaching** from 2026,ErrorCategory.STYLISTIC_PREFERENCE,85,"The phrasing 'qualification teaching from' is slightly awkward; 'qualification, teaching from' or 'qualification for teaching from' would improve clarity."
30,3,Integrated Science teaching,- GCSE **Integrated Science teaching** from 2026,ErrorCategory.STYLISTIC_PREFERENCE,85,"The phrasing 'qualification teaching from' is slightly awkward; 'qualification, teaching from' or 'qualification for teaching from' would improve clarity."
31,3,mitigate for,"In order to **mitigate for** any confusion which may be caused by this change, the English terms will be put in brackets the first time the terms appear in an examination paper.",ErrorCategory.STYLISTIC_PREFERENCE,85,'Mitigate' typically does not require 'for'; 'to mitigate any confusion' is more concise and grammatically standard.
32,4,"only, there will be","Please note: these changes relate to the new specifications **only, there will be** NO change to the terms used in the current specifications.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"This sentence contains a comma splice, joining two independent clauses without a coordinating conjunction."
