issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,1,cashed in on,"In 2026–27, resit opportunities will be available for post-16 learners who have previously **cashed in on** the legacy qualification.",ErrorCategory.STYLISTIC_PREFERENCE,85,The phrase 'cashed in on' is informal and does not accurately convey the meaning of completing or being awarded a qualification in a formal educational context.
1,2,Walk-Through,"Under Training On Demand Courses, you can access the *Specification **Walk-Through*** and a video recording of the *Specification Briefing* held in November 2024.",ErrorCategory.CONSISTENCY_ERROR,90,"The term 'walkthroughs' is used as a single word elsewhere in the document (e.g., 'examination walkthroughs'), so 'Walk-Through' should be consistent."
2,2,cash in their results,"Unit 3 will be offered in November 2026, which will also be the first opportunity for students to **cash in their results**.",ErrorCategory.STYLISTIC_PREFERENCE,85,The phrase 'cash in their results' is informal and does not accurately convey the meaning of receiving or being awarded examination results in a formal educational context.
3,3,diaries including,Here are some key dates for your **diaries including** information on upcoming Professional Learning opportunities.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is required before the participial phrase 'including information' which modifies the preceding clause.
4,3,Your Guide to the new specification module,"| **Your Guide to the new specification<br>module** | To support your understanding of the specification document. | This asynchronous module will be on the ""training on demand"" tab of your qualification page on the WJEC website. You will need to register to access a link to view. |",ErrorCategory.STYLISTIC_PREFERENCE,80,"As a title for a specific module, consistent capitalisation (e.g., 'Your Guide to the New Specification Module') would improve formality and clarity."
5,3,before start of study,To support you to provide information to parents and learners **before start of study**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The definite article 'the' is missing before 'start of study'.
6,3,specification experts,The live event will also refer to resources and upcoming PL and offer an opportunity to put questions to our Subject Teams and **specification experts**.,ErrorCategory.CONSISTENCY_ERROR,90,"For consistency with 'Subject Teams' (which is capitalised), 'specification experts' should also be capitalised if it refers to a specific group, or 'Subject Teams' should be lowercase."
7,3,English medium,There will be **English medium** and Welsh medium events (except for English and Welsh qualifications).,ErrorCategory.STYLISTIC_PREFERENCE,88,'English-medium' should be hyphenated as a compound adjective modifying 'events'.
8,3,Welsh medium,There will be English medium and **Welsh medium** events (except for English and Welsh qualifications).,ErrorCategory.STYLISTIC_PREFERENCE,88,'Welsh-medium' should be hyphenated as a compound adjective modifying 'events'.
9,3,Welsh medium days,"These days take place on designated regional INSET days – there are 12 days in this series held across Wales, including 2 **Welsh medium days** and 1 bilingual day.",ErrorCategory.STYLISTIC_PREFERENCE,88,'Welsh-medium' should be hyphenated as a compound adjective modifying 'days'.
10,3,WJEC secure website,These pre-recorded PowerPoint presentations will initially be published on Portal (the **WJEC secure website**) only.,ErrorCategory.CONSISTENCY_ERROR,90,"If 'WJEC secure website' refers to a specific named entity, 'Secure Website' should be capitalised for consistency, or it should be phrased as 'WJEC's secure website'."
11,4,2025-26,Learn more about how you and your learners can benefit from our Assessment Feedback Package here: [Assessment Feedback Package **2025-26**](https://www.wjec.co.uk/home/professional-learning/assessment-feedback-package-2024-25/) (wjec.co.uk).,ErrorCategory.FACTUAL_INACCURACY,95,"The year in the link text (2025-26) does not match the year in the URL (2024-25), indicating a potential factual inaccuracy or outdated link."
12,4,"FREE, online","You can download the most recent Principal Examiner Report and register for **FREE, online** feedback events on your qualification page.",ErrorCategory.STYLISTIC_PREFERENCE,85,The comma between 'FREE' and 'online' is unnecessary; 'free online' is the standard compound adjective.
