issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,1,Qualifications Wales regulated qualification,Ready for the world. This **Qualifications Wales regulated qualification** is not available to centres in England.,ErrorCategory.STYLISTIC_PREFERENCE,85,Compound adjective 'Qualifications Wales-regulated' should be hyphenated when preceding the noun 'qualification' for clarity and standard British English usage.
1,3,subject specific,Approval Criteria for Level 2 Additional Mathematics which sets out the **subject specific** requirements for Additional Mathematics from September 2026 and beyond.,ErrorCategory.STYLISTIC_PREFERENCE,85,Compound adjective 'subject-specific' should be hyphenated when preceding the noun 'requirements' for clarity and standard British English usage.
2,6,"Algebra, and","After the first January window, Unit 1: **Algebra, and** Unit 2: Calculus will be available in every January and summer series.",ErrorCategory.STYLISTIC_PREFERENCE,80,"In British English, a comma is typically omitted before 'and' when listing only two items (e.g., 'A and B' rather than 'A, and B')."
3,8,to delivered,Level 2 Additional Mathematics has been designed to be delivered within 60-90 guided learning hours. Each unit has been designed **to delivered** within 20-30 guided learning hours.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The infinitive verb 'to deliver' requires the passive voice 'to be delivered' in this context.
4,8,specific as possible,Updated terminology better reflects individual identities and fosters respect and accuracy. Language used should be **specific as possible**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The comparative construction requires 'as' before the adjective: 'as specific as possible'.
5,8,up to date,"Recognising that language will continue to evolve, we will remain open to further amendments to ensure it accurately represents and supports all individuals. WJEC will inform centres of any amendments and the most **up to date** version of the specification will always be on the website.",ErrorCategory.STYLISTIC_PREFERENCE,90,"When 'up-to-date' functions as a compound adjective before a noun ('version'), it should be hyphenated in British English."
6,13,betterunderstanding,"Learners should be aware of:• differentiation from first principles, in order to gain a **betterunderstanding** of the gradient function.",ErrorCategory.SPELLING_ERROR,98,The words 'better' and 'understanding' are merged; a space is required.
7,13,includingpolynomials,"Learners should be able to:• differentiate xn and related expressions, **includingpolynomials**, for integer values of n only, that is, use ofd/dx(xn)=nxn-1",ErrorCategory.SPELLING_ERROR,98,The words 'including' and 'polynomials' are merged; a space is required.
8,13,"cases,for","Learners should be able to:• find second derivatives in simple **cases,for** example, given y=x3+3x2+1 find d2y/dx2",ErrorCategory.SPELLING_ERROR,98,"A space is missing after the comma, merging 'cases,' and 'for'."
9,13,anddetermine,Learners should be able to:• find the maximum and minimum points on a curve **anddetermine** their nature.,ErrorCategory.SPELLING_ERROR,98,The words 'and' and 'determine' are merged; a space is required.
