issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,2,Maths Numeracy,WJEC has moved the November 2026 series for legacy **Maths Numeracy** to January 2027 to ensure manageability for centres and examiners during the busy November period that will have a series for legacy GCSE Mathematics as well as the new GCSE Units 1-3.,ErrorCategory.CONSISTENCY_ERROR,95,The informal abbreviation 'Maths' is inconsistent with the formal document title 'Mathematics and Numeracy' and the hyphenated 'Maths-Numeracy' in the preceding question. 'Mathematics and Numeracy' should be used for formality and consistency.
1,2,double award,There is no Single Award GCSE for Mathematics. The **double award** has been introduced to provide the most appropriate qualification for most learners.,ErrorCategory.CONSISTENCY_ERROR,95,Inconsistent capitalisation with 'Single Award' in the same sentence and 'Double Award' in the document title. Specific qualification types should be consistently capitalised.
2,2,resit,"Unit results are valid for the duration of the specification, but their use is subject to the rules for making entries such as unit **resit** limits and the terminal rule.",ErrorCategory.CONSISTENCY_ERROR,90,"Inconsistent with 're-sit' used in a question on the same page. While both are acceptable, consistency is preferred. 'Resit' (one word) is generally more common in British English."
3,2,section 5.1.,See **section 5.1.** of the specification for more details.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Incorrect punctuation; a full stop should not appear after the section number when immediately followed by 'of the specification'. Additionally, 'Section' should be capitalised for consistency with 'Section 5.3' on the same page."
4,3,section 1.5.5,"Q: In **section 1.5.5**, what is meant by 'other appropriate functions'?",ErrorCategory.CONSISTENCY_ERROR,95,Inconsistent capitalisation with 'Section 5.3' on page 2. 'Section' should be capitalised when referring to a specific section number.
5,3,e.g.,"There are no specific functions we mean here, but some teachers might wish to educate learners on other functions **e.g.** the degrees, minutes, seconds button and the 'ANS' button.",ErrorCategory.STYLISTIC_PREFERENCE,85,"In formal writing, 'e.g.' should typically be followed by a comma for improved readability."
6,3,maths,"For financial **maths** topics, a glossary of terms will be available in the GfT, along with numerous helpful resources like the BLs, KOs, and the Money and Pensions Service text book [\(https://www.young-enterprise.org.uk/your-money-matters-wales/\)](https://www.young-enterprise.org.uk/your-money-matters-wales/).",ErrorCategory.STYLISTIC_PREFERENCE,90,'Maths' is an informal abbreviation. 'Mathematics' should be used for formality and consistency with the document title 'Mathematics and Numeracy'.
7,3,text book,Money and Pensions Service **text book** [\(https://www.young-enterprise.org.uk/your-money-matters-wales/\)](https://www.young-enterprise.org.uk/your-money-matters-wales/).,ErrorCategory.SPELLING_ERROR,95,"'Textbook' is correctly spelled as one word in British English (Oxford English Dictionary, Collins Dictionary)."
8,3,section 3.2.2,"Q: In **section 3.2.2** of the new specification, it states ""using a ruler and protractor."" Should this be corrected to ""compass"" instead of ""protractor""?",ErrorCategory.CONSISTENCY_ERROR,95,Inconsistent capitalisation with 'Section 5.3' on page 2. 'Section' should be capitalised when referring to a specific section number.
9,3,compass,"Should this be corrected to ""**compass**"" instead of ""protractor""?",ErrorCategory.SPELLING_ERROR,95,"When referring to the drawing instrument, the plural form 'compasses' is used in British English."
10,3,section 3.2.2,"In December 2024, there was an update to the wording of **section 3.2.2** to clarify where exactly a pair of compasses would be needed.",ErrorCategory.CONSISTENCY_ERROR,95,Inconsistent capitalisation with 'Section 5.3' on page 2. 'Section' should be capitalised when referring to a specific section number.
11,3,constructions and compasses will be provided,"Further clarity will be provided on loci, **constructions and compasses will be provided** at the Preparing to Teach events.",ErrorCategory.AMBIGUOUS_PHRASING,90,"The phrasing is ambiguous; it could be interpreted as 'constructions and compasses themselves will be provided' rather than 'clarity on constructions and compasses'. Rephrasing for clarity is recommended (e.g., 'clarity on loci, constructions, and the use of compasses')."
12,4,de,...could inclu the WJEC specification refers to tax more generally. Can you confirm whether **de** examples from outside the UK?,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,'de' should be 'the' in this context.
13,4,19 December 2024,"A: The SAMs were published on **19 December 2024**. As with all subjects, only one set of SAMs will be produced, and as each set must be approved by the regulator, no more will be created.",ErrorCategory.FACTUAL_INACCURACY,95,"The date '19 December 2024' is in the past relative to the current date (December 2025), implying a factual inconsistency if the document is intended to be current."
14,5,additional maths,"This will run alongside the new GCSE (double award) (2025), L2 **additional maths** (2026) and a foundation level (entry and L1) from 2027.",ErrorCategory.STYLISTIC_PREFERENCE,85,'Additional Maths' should be capitalised as it refers to a specific qualification title.
15,5,foundation level,"This will run alongside the new GCSE (double award) (2025), L2 additional maths (2026) and a **foundation level** (entry and L1) from 2027.",ErrorCategory.STYLISTIC_PREFERENCE,85,'Foundation Level' should be capitalised as it refers to a specific qualification level.
16,5,log in,"This editable platform will be available at the end of January using your Hwb **log in** credentials Please note that this editability feature will apply only to the Blended Learning resources, not to the Knowledge Organisers.",ErrorCategory.SPELLING_ERROR,90,'log-in' or 'login' should be used as a compound adjective before 'credentials'.
17,5,credentials Please,"This editable platform will be available at the end of January using your Hwb log in **credentials Please** note that this editability feature will apply only to the Blended Learning resources, not to the Knowledge Organisers.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A full stop is missing between 'credentials' and 'Please', creating a run-on sentence."
18,5,text books,"A: There will be no **text books** produced. However, new knowledge organisers and blended learning materials will be produced.",ErrorCategory.SPELLING_ERROR,95,'textbooks' should be written as one word.
