issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,have decided,Qualifications Wales **have decided** that these qualifications will be introduced in a phased way; WJEC is now developing the qualifications that are to be available for first teaching from September 2025 to meet these requirements.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"'Qualifications Wales' is a singular entity (an organisation), and therefore requires the singular verb 'has decided' for subject-verb agreement."
1,4,nonexamination,This was particularly prevalent in qualifications where the **nonexamination** assessment is either new or significantly increased.,ErrorCategory.SPELLING_ERROR,95,"The term 'non-examination' should be hyphenated for consistency and correct British English usage, as it is elsewhere in the document."
2,4,wellbeing,"A notable area of concern in consultation responses and discussions with stakeholder groups links to learners undertaking non-examination assessment across a number of subjects, and the potential negative impact this could have on learner **wellbeing**.",ErrorCategory.CONSISTENCY_ERROR,90,"The document uses 'well-being' (hyphenated) in the title of official Welsh Government guidance on page 5, suggesting this is the preferred and consistent spelling."
3,4,links to,"A notable area of concern in consultation responses and discussions with stakeholder groups **links to** learners undertaking non-examination assessment across a number of subjects, and the potential negative impact this could have on learner wellbeing.",ErrorCategory.STYLISTIC_PREFERENCE,80,"For a formal document, 'is linked to' or 'relates to' would be more appropriate and professional than 'links to'."
4,5,nonexamination,"Some stakeholders felt that **nonexamination** assessment can further disadvantage some learners, for example, those who do not have support or access to adequate resources at home.",ErrorCategory.SPELLING_ERROR,95,"The term 'non-examination' should be hyphenated for consistency and correct British English usage, as it is elsewhere in the document."
5,5,maximalise,"However, one stakeholder group had a different view on what impacted equity, requesting that the GCSEs have a range of assessment methods, focusing on competency-based continuous assessment methods, rather than coursework or mini-tests, to **maximalise** equity.",ErrorCategory.SPELLING_ERROR,95,The correct British English spelling is 'maximise'.
6,5,Qualification Wales,"When we submit our qualifications to **Qualification Wales** for approval, we must stipulate how we have managed the balance of manageability, engagement, reliability and validity.",ErrorCategory.FACTUAL_INACCURACY,95,"The correct name of the body is 'Qualifications Wales' (plural), as used consistently elsewhere in the document."
7,6,nonexamination,"Where this is the case, scanning and uploading of **nonexamination** assessment could be time-consuming, particularly when considering the scale of non-examination assessment across the suite of qualifications.",ErrorCategory.SPELLING_ERROR,95,"The term 'non-examination' should be hyphenated for consistency and correct British English usage, as it is elsewhere in the document."
8,8,on or volume,"A couple of respondents proposed setting limits on the time spent **on or volume** of work to be submitted for the portfolio; however, after consulting further with stakeholders via our Development Advisory Group, we have decided not to proceed with this but to retain the current flexibility.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The phrase lacks parallelism; it should be 'on the time spent on or the volume of work' or 'on the time spent on work or the volume of work' to maintain grammatical consistency.
9,9,states,The Approval Criteria **states** that 30% of the qualification must be assessed by external examination which must include questions on unprepared works.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"'Criteria' is a plural noun, so the verb should be 'state' to maintain subject-verb agreement."
10,10,and that the assessment approach is appropriate,"Respondents generally agreed or partially agreed that the proposed assessment approach is appropriate, that the unit purposes are appropriate and engaging for learners and meet the qualification purpose and aims, **and that the assessment approach is appropriate**.",ErrorCategory.STYLISTIC_PREFERENCE,90,The phrase 'and that the assessment approach is appropriate' is redundant as it repeats a clause earlier in the same sentence.
11,10,cynefin',"It also states that learners must develop '**an understanding of business processes, incentives, and outcomes, within their cynefin**'.",ErrorCategory.STYLISTIC_PREFERENCE,85,"Direct quotes in formal British English typically use double quotation marks for consistency, or the source should be explicitly stated if single quotes are used to highlight a term."
12,11,around,Some concerns were raised **around** the number of non-examination assessments.,ErrorCategory.STYLISTIC_PREFERENCE,90,'About' is generally preferred over 'around' when expressing 'concerning' or 'relating to' in formal writing.
