issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,2,Walk-Through,"Under Training On Demand Courses, you can access the *Specification **Walk-Through*** and a video recording of the *Specification Briefing* held in November 2024.",ErrorCategory.CONSISTENCY_ERROR,85,"The term 'walkthroughs' is used as a single word elsewhere in the document (e.g., 'examination walkthroughs'); for consistency, this title should also be a single word, 'Walkthrough'."
1,3,diaries including,Here are some key dates for your **diaries including** information on upcoming Professional Learning opportunities.,ErrorCategory.STYLISTIC_PREFERENCE,90,A comma is stylistically preferred before 'including' when it introduces a non-restrictive phrase for improved readability.
2,3,before start of study,To support you to provide information to parents and learners **before start of study.**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A definite article is required before 'start of study'; it should be 'before the start of study'.
3,4,Principal Examiner reports,"This integrated suite of resources and training brings together free access to **Principal Examiner reports**, marked scripts, and online assessment feedback sessions.",ErrorCategory.CONSISTENCY_ERROR,95,Inconsistent capitalisation and possessive form compared to the heading 'PRINCIPAL EXAMINERS' REPORTS' and other mentions within the document.
4,4,2025-26,Learn more about how you and your learners can benefit from our Assessment Feedback Package here: [Assessment Feedback Package **2025-26**](https://www.wjec.co.uk/home/professional-learning/assessment-feedback-package-2024-25/) (wjec.co.uk).,ErrorCategory.FACTUAL_INACCURACY,98,"The year in the descriptive text (2025-26) does not match the year in the URL (2024-25), indicating a potential factual inaccuracy or outdated link."
5,4,Principal Examiner Report,"You can download the most recent **Principal Examiner Report** and register for FREE, online feedback events on your qualification page.",ErrorCategory.CONSISTENCY_ERROR,95,Inconsistent capitalisation and possessive form compared to the heading 'PRINCIPAL EXAMINERS' REPORTS' and other mentions within the document.
6,4,Home Page WJEC Educational Resources Website.,Visit the [**Home Page WJEC Educational Resources Website.**](https://resources.wjec.co.uk/),ErrorCategory.STYLISTIC_PREFERENCE,85,The phrasing is awkward and could be more concise; 'WJEC Educational Resources Website homepage' or simply 'WJEC Educational Resources Website' would be clearer.
7,5,therefore,"Based on the recommendations of Canolfan Bedwyr **therefore**, 'cyflymder' (speed) and 'felosedd' (velocity) will be used in the following new qualifications:",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The adverb 'therefore' should be set off by commas when used as an interrupter in this context (e.g., 'Canolfan Bedwyr, therefore,')."
8,5,The Sciences,- GCSE **The Sciences** (double award) teaching from 2026,ErrorCategory.STYLISTIC_PREFERENCE,90,"The definite article 'The' is typically omitted when referring to the subject 'Sciences' in this context (e.g., 'GCSE Science' or 'GCSE Sciences')."
9,5,that is,- • It would follow modern terminology principles (**that is** keeping familiar words for familiar concepts),ErrorCategory.STYLISTIC_PREFERENCE,88,'that is' should typically be followed by a comma or replaced with 'i.e.' for clarity and conciseness in parenthetical explanations.
10,6,mitigate for,"In order to **mitigate for** any confusion which may be caused by this change, the English terms will be put in brackets the first time the terms appear in an examination paper.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The verb 'mitigate' is transitive and usually takes a direct object; 'for' is superfluous here. It should be 'mitigate any confusion'.
11,6,NO,"Please note: these changes relate to the new specifications only, there will be **NO** change to the terms used in the current specifications.",ErrorCategory.STYLISTIC_PREFERENCE,80,Capitalising for emphasis is generally avoided in formal writing.
12,6,we do feel,"Implementing these changes will cause an additional burden initially in the short term, but **we do feel** that pupils will benefit from making this change in the long term in order to ensure consistency of terminology across their entire educational journey.",ErrorCategory.STYLISTIC_PREFERENCE,85,The word 'do' is unnecessary for emphasis in formal writing; 'we feel' is sufficient.
13,6,in order to ensure,...but we do feel that pupils will benefit from making this change in the long term **in order to ensure** consistency of terminology across their entire educational journey.,ErrorCategory.STYLISTIC_PREFERENCE,80,The phrase 'in order to' can often be replaced by 'to' for conciseness without loss of meaning.
