issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,7,and,...tifying individual levels of achievement** and** they do not correlate with grade bounda...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,The omission of a comma before 'and' joining independent clauses is a stylistic choice and does not hinder clarity here.
1,8,wellstructured,...esented and how well the piece has been **wellstructured**.  #### **Column 3 – Outcome of Brief:**...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The compound adjective 'well-structured' should be hyphenated, likely a parsing error from PDF conversion."
2,10,but,...mpt to structure the piece has been made** but** the presentation of musical ideas is in...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,The omission of a comma before 'but' joining independent clauses is a stylistic choice and does not hinder clarity here.
3,11,audio visual,...itable format):  - audio presentation - **audio visual** presentation - PowerPoint - written pro...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,"The compound adjective 'audio-visual' should be hyphenated, likely a parsing error from PDF conversion."
4,15,audio visual,...itable format):  - audio presentation - **audio visual** presentation - PowerPoint - written pro...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,"The compound adjective 'audio-visual' should be hyphenated, likely a parsing error from PDF conversion."
5,22,tr,...-|--|--|--| | Centre No:      | <table><**tr**><td></td><td></td><td></td><td></td><td...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"'tr' is an HTML tag for a table row, which is a technical element and not a linguistic error."
6,22,tr,... |  |  |  | | Candidate No:   | <table><**tr**><td></td><td></td><td></td><td></td><td...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"'tr' is an HTML tag for a table row, which is a technical element and not a linguistic error."
7,24,outside of,...-------| | None | Work may be completed **outside of** the centre without direct supervision. ...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"While 'outside' is more concise, 'outside of' is grammatically acceptable and its use here is a stylistic choice."
8,24,resourcesuse,...imited access to electronic and printed **resourcesuse** the internet without restrictionwork in...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"'resourcesuse' is a merged word that should be 'resources use', indicating a parsing error."
9,24,restrictionwork,"...inted resourcesuse the internet without **restrictionwork** in groups.However, due to the nature of...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"'restrictionwork' is a merged word that should be 'restriction work', indicating a parsing error."
