issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,9,step wise,... the list below:<br>• mostly conjunct / **step wise** movement<br>• semi quaver pattern phras...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,"The term should be 'stepwise' (one word) or 'step-wise' (hyphenated) as a compound adjective, making 'step wise' a parsing error due to an inserted space."
1,12,interval,...ets / crotchet rhythm<br>• bar 5 rising **interval** of 3rd and 5th<br>• bar 6 rising 4th an...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The word 'interval' is used correctly as a noun in the context of musical terminology.
2,12,pair of,...f 3rd and 5th<br>• bar 6 rising 4th and **pair of** rising 3rds /broken second inversion ch...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The phrase 'pair of' is used correctly to quantify 'rising 3rds' in a musical context.
3,13,Ga-dael,"...<br>Image: Rhythm notation with lyrics '**Ga-dael** car-tref, ga- dael- gwaed'             ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'Ga-dael' is a Welsh word hyphenated for musical notation, and its form is intentional and correct in this context."
4,13,ga,"...notation with lyrics 'Ga-dael car-tref, **ga**- dael- gwaed'                          ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'ga' is a syllable from a Welsh lyric, hyphenated for musical notation, and its form is intentional and correct in this context."
5,13,dael,"...tion with lyrics 'Ga-dael car-tref, ga- **dael**- gwaed'                                ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'dael' is a syllable from a Welsh lyric, hyphenated for musical notation, and its form is intentional and correct in this context."
6,13,gwaed,"...ith lyrics 'Ga-dael car-tref, ga- dael- **gwaed**'                                       ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,'gwaed' is a valid Welsh word used correctly in the context of song lyrics.
7,19,and,...rough line 13<br>• Line 13 strings added** and** accompaniment pattern chords are fuller...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma is grammatically required before 'and' when it connects two independent clauses.
8,20,ascendingChromatic,...of the following points:Descending then **ascendingChromatic** movementScalic/conjunctLine 7 is a repe...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"'ascendingChromatic' should be two separate words, 'ascending chromatic', indicating a parsing error where the space was removed."
9,20,movementScalic,...ints:Descending then ascendingChromatic **movementScalic**/conjunctLine 7 is a repeat of line 5   ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"'movementScalic' should be separated by punctuation or a space, indicating a parsing error where the words were merged."
10,20,conjunctLine,... then ascendingChromatic movementScalic/**conjunctLine** 7 is a repeat of line 5                ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'conjunct' and 'Line' have been merged due to a PDF parsing error and should be separated.
11,20,fillsCrash,...or each of the following points:Melodic **fillsCrash** cymbal prominentSyncopationBrass/horns ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'fills' and 'Crash' have been merged due to a PDF parsing error and should be separated.
12,20,prominentSyncopationBrass,...lowing points:Melodic fillsCrash cymbal **prominentSyncopationBrass**/horns counter melodyDrum fill end of li...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'prominent', 'Syncopation', and 'Brass' have been merged due to a PDF parsing error and should be separated."
13,20,melodyDrum,...prominentSyncopationBrass/horns counter **melodyDrum** fill end of line 10Strummed guitar chor...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'melody' and 'Drum' have been merged due to a PDF parsing error and should be separated.
14,25,vocalsdifferent,...g up to a maximum of 2:(female) backing **vocalsdifferent** instrumentation / acoustic guitar / dou...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'vocals' and 'different' have been merged due to a PDF parsing error and should be separated.
15,25,pianopizzicato,"...ustic guitar / double bass / drum kit / **pianopizzicato** bass linefirst one sounds operatic, sec...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'piano' and 'pizzicato' have been merged due to a PDF parsing error and should be separated.
