issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,3,made-for-wales-gcses,...form/reforming/qualified-for-the-future/**made-for-wales-gcses**/#approval-criteria\)](https://qualifica...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The highlighted text is part of a URL, where hyphens and merged words are standard practice and not subject to grammatical correction."
1,3,CymraegGCSE,...---| | Level 2 Award in Additional Core **CymraegGCSE** Art and DesignGCSE BusinessGCSE Compute...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,"The words 'Cymraeg' and 'GCSE' are merged due to a PDF-to-text conversion artifact, requiring a space for correct readability."
2,3,DesignGCSE,... in Additional Core CymraegGCSE Art and **DesignGCSE** BusinessGCSE Computer ScienceGCSE Core ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,"The words 'Design' and 'GCSE' are merged due to a PDF-to-text conversion artifact, requiring a space for correct readability."
3,3,BusinessGCSE,...nal Core CymraegGCSE Art and DesignGCSE **BusinessGCSE** Computer ScienceGCSE Core CymraegGCSE D...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,"The words 'Business' and 'GCSE' are merged due to a PDF-to-text conversion artifact, requiring a space for correct readability."
4,3,ScienceGCSE,"...rt and DesignGCSE BusinessGCSE Computer **ScienceGCSE** Core CymraegGCSE DramaGCSE French, Germ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,90,"The words 'Science' and 'GCSE' are merged due to a PDF-to-text conversion artifact, requiring a space for correct readability."
5,3,CymraegGCSE,"... BusinessGCSE Computer ScienceGCSE Core **CymraegGCSE** DramaGCSE French, German and SpanishGCS...",PassCode.LTC,ErrorCategory.PARSING_ERROR,90,"The words 'Cymraeg' and 'GCSE' are merged due to a PDF-to-text conversion artifact, requiring a space for correct readability."
6,3,DramaGCSE,"...E Computer ScienceGCSE Core CymraegGCSE **DramaGCSE** French, German and SpanishGCSE Geograph...",PassCode.LTC,ErrorCategory.PARSING_ERROR,90,"The words 'Drama' and 'GCSE' are merged due to a PDF-to-text conversion artifact, requiring a space for correct readability."
7,3,SpanishGCSE,"...ymraegGCSE DramaGCSE French, German and **SpanishGCSE** Geography | GCSE Cymraeg Language and L...",PassCode.LTC,ErrorCategory.PARSING_ERROR,90,"The words 'Spanish' and 'GCSE' are merged due to a PDF-to-text conversion artifact, requiring a space for correct readability."
8,3,NutritionGCSE,...rature (Single and Double)GCSE Food and **NutritionGCSE** HistoryGCSE Mathematics and NumeracyGCS...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,"The words 'Nutrition' and 'GCSE' are merged due to a PDF-to-text conversion artifact, requiring a space for correct readability."
9,3,HistoryGCSE,... and Double)GCSE Food and NutritionGCSE **HistoryGCSE** Mathematics and NumeracyGCSE MusicGCSE ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,"The words 'History' and 'GCSE' are merged due to a PDF-to-text conversion artifact, requiring a space for correct readability."
10,3,NumeracyGCSE,...tritionGCSE HistoryGCSE Mathematics and **NumeracyGCSE** MusicGCSE Religious StudiesGCSE The Sci...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'Numeracy' and the abbreviation 'GCSE' should be separated by a space; this is a PDF conversion artifact.
11,3,MusicGCSE,...istoryGCSE Mathematics and NumeracyGCSE **MusicGCSE** Religious StudiesGCSE The Sciences (Dou...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'Music' and the abbreviation 'GCSE' should be separated by a space; this is a PDF conversion artifact.
12,3,StudiesGCSE,...cs and NumeracyGCSE MusicGCSE Religious **StudiesGCSE** The Sciences (Double) |  The consultati...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'Studies' and the abbreviation 'GCSE' should be separated by a space; this is a PDF conversion artifact.
13,6,and,...greater detail with Qualifications Wales** and** we will also be discussing the issue wi...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,The absence of a comma before the conjunction 'and' separating two independent clauses is a stylistic choice and does not hinder comprehension.
14,7,all of the,...ications will provide stakeholders with **all of the** information they require in due course....,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The phrase 'all of the' is grammatically correct and acceptable in formal writing.
15,10,and,...hat the content is teachable in the time** and** we will strengthen our focus on reviewi...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,The absence of a comma before the conjunction 'and' separating two independent clauses is a stylistic choice and does not hinder comprehension.
16,11,and,... balance of physical and human geography** and** we have updated the possible areas to b...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,The absence of a comma before the conjunction 'and' separating two independent clauses is a stylistic choice and does not hinder comprehension.
17,11,that that,...ts generally agreed or partially agreed **that that** the proposed assessment approach is app...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The repetition of 'that' is a grammatical error, as one instance is superfluous."
18,13,and,...sed concern that the weighting was heavy** and** it would impact on teacher workload. We...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,The absence of a comma before the conjunction 'and' separating two independent clauses is a stylistic choice and does not hinder comprehension.
19,14,whether or not,...dual learners or groups of learners and **whether or not** the teacher performs the control elemen...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The phrase 'whether or not' is grammatically correct and commonly used.
20,16,and,...r for this unit is aware of the concerns** and** we will aim to include writing that rep...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,Adding a comma before 'and' would improve readability but its omission does not create ambiguity or a grammatical error.
21,18,time consuming,...ondents conveying that oracy tasks were **time consuming** and difficult to administer. As a direc...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"When used as a predicate adjective after a verb, 'time consuming' is correctly written as two words."
22,18,with regards to,...t is clearly on 'Continuity and change' **with regards to** both language and ideas. There will now...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,85,The more formal and standard phrasing in British English is 'with regard to' or 'as regards'.
23,19,and,... are supported by this new qualification** and** we will work to ensure that this is the...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,Adding a comma before 'and' would improve readability but its omission does not create ambiguity or a grammatical error.
