issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,4,begins teachers,Before the composition process **begins teachers** may advise learners on the suitability of their approach to the chosen brief.,ErrorCategory.STYLISTIC_PREFERENCE,85,A comma is recommended after an introductory subordinate clause to improve readability.
1,4,and complete.,"However, they must not provide specific guidance on how to improve the work to be able to authenticate the work as the learner's own **and complete**.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The sentence ends abruptly with 'and complete', indicating a truncation or missing object/phrase. It should likely refer to completing the declaration form."
2,6,which require,Each learner will be required to submit a Candidate Declaration Form **which require** teacher and learner declarations (please see Appendix B on page 5 of the candidate pack) and a Candidate Authentication form (please see Appendix C on page 7 of the candidate pack).,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,99,Subject-verb agreement error; 'Form' (singular subject) requires the singular verb 'requires'.
3,6,and if it accurately,- how the audio file has been created **and if it accurately** represents their compositional intentions.,ErrorCategory.STYLISTIC_PREFERENCE,80,"'Whether' is generally preferred over 'if' when introducing an indirect question or expressing an alternative, for greater clarity in formal writing."
4,6,Further information,#### **Further information**,ErrorCategory.CONSISTENCY_ERROR,90,The capitalisation of 'information' is inconsistent with the main heading 'Further Information' and other sub-headings like 'Recording' and 'Authentication' on the same page.
5,16,non[examination assessments],The following information has been taken from the [JCQ Information for candidates –](https://www.jcq.org.uk/wp-content/uploads/2021/08/IFC-NE_Assessments_2021_v4.pdf) **non[examination assessments]**(https://www.jcq.org.uk/wp-content/uploads/2021/08/IFC-NE_Assessments_2021_v4.pdf) and the [JCQ Artificial Intelligence (AI) Use in Assessments:](https://www.jcq.org/exams-office/malpractice/artificial-intelligence/) [Protecting the Integrity of Qualifications.](https://www.jcq.org/exams-office/malpractice/artificial-intelligence/) This tells you about things that you **must** and **must not** do when you are completing your assessment.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The markdown for the link is broken, splitting 'non-examination assessments' and linking parts separately, which creates a grammatical and formatting error. It should be `[JCQ Information for candidates – non-examination assessments](link)`."
6,16,solutions this is cheating,**Do not** be tempted to use pre-prepared online **solutions this is cheating** (such as those produced by AI tools and chatbots). Electronic tools used by WJEC can detect this sort of copying.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,This is a fused sentence where two independent clauses are joined without appropriate punctuation or conjunction. A semicolon or a comma with a conjunction is required.
7,16,[JCQ Artificial Intelligence (AI) Use in Assessments:](https://www.jcq.org/exams-office/malpractice/artificial-intelligence/) [Protecting the Integrity of Qualifications.](https://www.jcq.org/exams-office/malpractice/artificial-intelligence/),The following information has been taken from the [JCQ Information for candidates –](https://www.jcq.org.uk/wp-content/uploads/2021/08/IFC-NE_Assessments_2021_v4.pdf) non[examination assessments](https://www.jcq.org.uk/wp-content/uploads/2021/08/IFC-NE_Assessments_2021_v4.pdf) and the **[JCQ Artificial Intelligence (AI) Use in Assessments:](https://www.jcq.org/exams-office/malpractice/artificial-intelligence/) [Protecting the Integrity of Qualifications.](https://www.jcq.org/exams-office/malpractice/artificial-intelligence/)** This tells you about things that you **must** and **must not** do when you are completing your assessment.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The markdown for the link is broken, splitting the title into two separate links, which creates a formatting error and affects readability. It should be `[JCQ Artificial Intelligence (AI) Use in Assessments: Protecting the Integrity of Qualifications.](link)`."
8,17,give brief details,List of software packages/AI tools/chatbots: **give brief details** of how these have been used in the assignment.,ErrorCategory.CONSISTENCY_ERROR,90,"For consistency with the preceding instruction 'References: Give details...', the verb 'give' should be capitalised as it functions as an imperative instruction within a table cell."
9,19,E.g.,"**E.g.** Quotes from other pieces, loops/samples/chord realisations from your software or elsewhere, ideas composed or suggested by other people etc.",ErrorCategory.STYLISTIC_PREFERENCE,90,"In formal British English, 'e.g.' is typically followed by a comma."
10,19,reali sations,"E.g. Quotes from other pieces, loops/samples/chord **reali sations** from your software or elsewhere, ideas composed or suggested by other people etc.",ErrorCategory.SPELLING_ERROR,98,This appears to be a ghost space artifact; the correct British English spelling is 'realisations'.
11,19,etc.,"E.g. Quotes from other pieces, loops/samples/chord realisations from your software or elsewhere, ideas composed or suggested by other people **etc.**",ErrorCategory.STYLISTIC_PREFERENCE,90,"In formal British English, 'etc.' is typically preceded by a comma when it concludes a list of two or more items."
12,20,E.g.,"**E.g.** Quotes from other pieces, loops/samples/chord realisations from your software or elsewhere, ideas composed or suggested by other people etc. (If there are none, please write ""none"")",ErrorCategory.STYLISTIC_PREFERENCE,90,"In formal British English, 'e.g.' is typically followed by a comma."
13,20,reali sations,"E.g. Quotes from other pieces, loops/samples/chord **reali sations** from your software or elsewhere, ideas composed or suggested by other people etc. (If there are none, please write ""none"")",ErrorCategory.SPELLING_ERROR,98,This appears to be a ghost space artifact; the correct British English spelling is 'realisations'.
14,20,etc.,"E.g. Quotes from other pieces, loops/samples/chord realisations from your software or elsewhere, ideas composed or suggested by other people **etc.** (If there are none, please write ""none"")",ErrorCategory.STYLISTIC_PREFERENCE,90,"In formal British English, 'etc.' is typically preceded by a comma when it concludes a list of two or more items."
15,22,;,"DECLARATION: I certify that the work of this candidate has been carried out and assessed under the conditions required by WJEC and that, to the best of my knowledge and belief**;** it has been produced by their own efforts.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,A semicolon is incorrectly used here; a comma is required to separate the adverbial phrase from the subsequent clause.
16,24,resourcesuse,"Where no supervision is specified, candidates may normally:<br>have unlimited access to electronic and printed **resourcesuse** the internet without restrictionwork in groups.",ErrorCategory.SPELLING_ERROR,95,"Two words have been merged due to an OCR error; it should be 'resources, use'."
17,24,restrictionwork,"Where no supervision is specified, candidates may normally:<br>have unlimited access to electronic and printed resourcesuse the internet without **restrictionwork** in groups.",ErrorCategory.SPELLING_ERROR,95,"Two words have been merged due to an OCR error; it should be 'restriction, work'."
18,24,groups.However,"Where no supervision is specified, candidates may normally:<br>have unlimited access to electronic and printed resourcesuse the internet without restrictionwork in **groups.However**, due to the nature of the assessment within Unit 2: Composing, candidates are not permitted to work in groups.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Punctuation and capitalisation error due to merged words; it should be 'groups. However,'."
19,25,– collaboration,Within Unit 2 **– collaboration** is not permitted. Candidates must not collaborate in any way during the tasks.,ErrorCategory.STYLISTIC_PREFERENCE,80,"The use of an en-dash (or em-dash) in this context is stylistically awkward; a comma would be more appropriate for formal writing, or the sentence should be rephrased for clarity and formality."
