issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,Approved,Made for Wales GCSE Qualification Approval Criteria which set out requirements for any new GCSE qualification **Approved** for first teaching from September 2025 and beyond.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The word 'Approved' should be lowercase as it is not a proper noun or the start of a sentence, but a descriptive participle within the clause."
1,3,subject specific,Approval Criteria for GCSE [Physical Education and Health](https://qualifications.wales/media/2nrp3ila/gcse-physical-education-and-health-approval-criteria.pdf) which sets out the **subject specific** requirements for GCSE Physical Education from September 2026 and beyond.,ErrorCategory.STYLISTIC_PREFERENCE,90,The compound adjective 'subject-specific' should be hyphenated when preceding the noun 'requirements' for clarity in British English.
2,3,GCSE Physical Education,Approval Criteria for GCSE [Physical Education and Health](https://qualifications.wales/media/2nrp3ila/gcse-physical-education-and-health-approval-criteria.pdf) which sets out the subject specific requirements for **GCSE Physical Education** from September 2026 and beyond.,ErrorCategory.FACTUAL_INACCURACY,95,"The full title of the qualification, as stated in the document's main title and the linked PDF, is 'GCSE Physical Education and Health'. Omitting 'and Health' is an inaccuracy."
3,4,4,"| SUMMARY OF ASSESSMENT |     |                                                                  | **4**  |
|-----------------------|-----|------------------------------------------------------------------|----|
| 1                     |     | INTRODUCTION                                                     | 5  |",ErrorCategory.FACTUAL_INACCURACY,98,"The 'SUMMARY OF ASSESSMENT' content and heading begin on page 5, not page 4, according to the document's structure."
4,6,wellbeing,"- develop their knowledge and understanding of health, **wellbeing**, and physical activity and the links between them
- understand the factors that impact on levels of activity and the relationship with physical, social and emotional health and **wellbeing** through the life cycle
- explore the cross-cutting theme of human rights and diversity, including Black, Asian and minority ethnic perspectives, identity, culture, contributions and experiences.

These aims are set out in Qualifications Wales's Approval Criteria.

<span id=""page-5-2""></span>

## 1.2 Curriculum for Wales

This GCSE Physical Education and Health qualification is underpinned by the Curriculum for Wales framework and has been designed to ensure that learners can continue to make progress towards the four purposes whilst studying for this qualification. Central to this design are the [principles of progression,](https://hwb.gov.wales/curriculum-for-wales/health-and-well-being/principles-of-progression/) along with the [statements of what matters](https://hwb.gov.wales/curriculum-for-wales/health-and-well-being/statements-of-what-matters/) and those [subject specific skills and concepts](https://hwb.gov.wales/curriculum-for-wales/health-and-well-being/designing-your-curriculum/#specific-considerations-for-this-area) outlined in the '[Designing your Curriculum](https://hwb.gov.wales/curriculum-for-wales/health-and-well-being/designing-your-curriculum/)' section of the Health and **Well-being** Area of Learning and Experiences",ErrorCategory.CONSISTENCY_ERROR,90,"The term 'wellbeing' is used as a single word in bullet points but hyphenated as 'Well-being' in the formal title 'Health and Well-being Area of Learning and Experiences' on the same page, indicating an inconsistency in preferred spelling."
5,6,subject specific skills,"Central to this design are the [principles of progression,](https://hwb.gov.wales/curriculum-for-wales/health-and-well-being/principles-of-progression/) along with the [statements of what matters](https://hwb.gov.wales/curriculum-for-wales/health-and-well-being/statements-of-what-matters/) and those **subject specific skills** and concepts outlined in the '[Designing your Curriculum](https://hwb.gov.wales/curriculum-for-wales/health-and-well-being/designing-your-curriculum/)' section of the Health and Well-being Area of Learning and Experiences",ErrorCategory.STYLISTIC_PREFERENCE,85,"When 'subject-specific' acts as a compound adjective modifying 'skills', it should be hyphenated for clarity and adherence to British English stylistic conventions (e.g., 'subject-specific skills')."
6,7,including. health-promoting behaviours develop,"understand the factors that affect physical health and well-being **including. health-promoting behaviours develop** positive, informed behaviours that encourage them both to care for and respect themselves and others.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The full stop after 'including' is incorrect, and the subsequent phrasing creates a run-on sentence or a grammatical error. It should likely be a comma and a rephrasing (e.g., '...including health-promoting behaviours, and develop positive...')."
7,7,health: resulting in,develop their independence and agency in matters relating to physical education and **health: resulting in** a growing responsibility for their own health and well-being,ErrorCategory.STYLISTIC_PREFERENCE,80,A comma or em-dash would be more appropriate than a colon to introduce a participial phrase describing a consequence.
8,7,skills increasing accuracy,develop practical **skills increasing accuracy** and proficiency,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is required before the participial phrase 'increasing accuracy' to clarify that it describes the result of developing skills.
9,7,others; becoming more socially responsible.,transfer understanding from their own well-being to that of **others; becoming more socially responsible.**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A semicolon is used to separate independent clauses or complex list items. 'becoming more socially responsible' is a participial phrase, not an independent clause, and should be preceded by a comma."
