issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,8,believeWhy,"...sts, religious pluralists and agnostics **believeWhy** some believe in a god or gods and ident...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'believe' and 'Why' have been incorrectly merged due to a PDF parsing error, creating a run-on sentence."
1,8,religiousWhat,...elieve in a god or gods and identify as **religiousWhat** atheists and humanists believeWhy some ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'religious' and 'What' have been incorrectly merged due to a PDF parsing error, creating a run-on sentence."
2,8,believeWhy,...as religiousWhat atheists and humanists **believeWhy** some people do not believe in a god or ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'believe' and 'Why' have been incorrectly merged due to a PDF parsing error, creating a run-on sentence."
3,9,emphasi se,...ieve in any gods or divine beings. They **emphasi se** the value of human beings and seek to p...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,"The word 'emphasise' is incorrectly split by a space, which is a common parsing error."
4,9,well -being,"...dvocate for compassion, justice and the **well -being** of others, often placing emphasis on in...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The compound noun 'well-being' is incorrectly split by a space, which is a common parsing error."
5,11,book of Genesis,"...the universe was created by God. In the **book of Genesis**, it states that the world was created '...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'The book of Genesis' is a grammatically correct and stylistically acceptable way to refer to the biblical book.
6,11,Tri-unity,"... This belief is called the Trinity, or '**Tri-unity**'. The three persons of the Trinity are:...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'Tri-unity' is a valid theological term, correctly hyphenated and used in context as an alternative to 'Trinity'."
7,12,TrueTube,...f-matthew-the-nativity/) The Nativity - **TrueTube** [The Gospel of Luke -](https://www.true...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'TrueTube' is a proper noun referring to a specific educational resource and is correctly used.
8,12,TrueTube,...l-of-luke-the-nativity/) The Nativity - **TrueTube**  incarnation – 'God made flesh'. This m...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'TrueTube' is a proper noun referring to a specific educational resource and is correctly used.
9,14,Yeshua,... him in the afterlife. The name Jesus – **Yeshua** in Hebrew – means 'the Lord saves'.  At...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"'Yeshua' is a proper noun, the Hebrew name for Jesus, and is correctly used in context."
10,14,Dei,... are created in the image of God (imago **Dei**) (Genesis 1:27). Christians also believ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"""imago Dei"" is a correct Latin theological term used appropriately in the context of Christian beliefs."
11,15,but,... they came to understand right and wrong** but** their perfect relationship with God was...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,The absence of a comma before the conjunction 'but' separating two independent clauses is a stylistic choice and does not create ambiguity.
12,15,',... was that all human beings will inherit **'**Original Sin' and carry this within thei...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The `&#x27;` is an HTML entity for a single quote, indicating a parsing error from the PDF conversion."
13,15,Dei,"... the nature of human beings, e.g. imago **Dei**, soul, free will, etc. They could then ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"""imago Dei"" is a correct Latin theological term used appropriately in the context of Christian beliefs."
14,16,book of Genesis,...is is how the first two chapters of the **book of Genesis** described it.  Conservative Christians....,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"""book of Genesis"" is an acceptable phrasing and not an objective grammatical error."
15,16,book of Genesis,"...' intentions fully. For example, in the **book of Genesis**, Conservative Christians may suggest th...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"""book of Genesis"" is an acceptable phrasing and not an objective grammatical error."
16,17,Tearfund,"...d include: Christian Aid, World Vision, **Tearfund**, The Salvation Army, HOPE International...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"""Tearfund"" is the correct name of a recognised Christian charity and a proper noun."
17,18,thisischristianaid,...ble on the Christian Aid YouTube page: [**thisischristianaid** -](https://www.youtube.com/@thisischris...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"""thisischristianaid"" is a YouTube channel handle within a URL and is correctly presented as such."
