issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,12,nage,...---------------  |                    | **nage** is the most important Catholic practice...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"""nage"" appears to be an OCR error for ""Mass"" in the context of Catholic practice."
1,12,',...is the most important Catholic practice.**'**                                   | |--...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"The `&#x27;` is an HTML entity for a single quote, which is a parsing artifact and not a grammatical error in the original text."
2,12,Analys,...------------------------------------| | **Analys**<br>justifie | e and evaluate this state...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"""Analys"" is an incomplete word, likely an OCR error for ""Analyse"" where the final 'e' was separated or lost."
3,12,justifie,...--------------------------| | Analys<br>**justifie** | e and evaluate this statement using r...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,"""justifie"" is a misspelling of the English word ""justify"" in this context."
4,14,vipassana,.... | Describe how Buddhists may practise **vipassana** meditation. | [6] |               |  {1...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"""Vipassana"" is a correct and widely recognized technical term for a type of Buddhist meditation."
5,18,moksha,... aims which Hindus believe will lead to **moksha**. | [3] | Examiner only | |----|--------...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"""Moksha"" is a correct and widely recognized technical term in Hinduism."
6,18,Shaiva,...         | | 7. | Describe practices of **Shaiva** bhakti.                          | [6] ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"""Shaiva"" is a correct and widely recognized technical term referring to a tradition within Hinduism."
7,19,Nirguna,...----------  | Explain how beliefs about **Nirguna** Brahman and Saguna Brahman influence Hi...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"""Nirguna"" is a correct and widely recognized technical term in Hinduism, referring to Brahman without attributes."
8,19,Saguna,...n how beliefs about Nirguna Brahman and **Saguna** Brahman influence Hindus. | [6]        ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"""Saguna"" is a correct and widely recognized technical term in Hinduism, referring to Brahman with attributes."
9,37,',...e seen as a state where the soul ''lives**'** for eternity in the presence of God whe...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"The `&#x27;` is an HTML entity for a single quote, which is a parsing artifact and not a grammatical error in the original text."
10,37,Parousia,... earth in a 'Second Coming' (called The **Parousia**) and a physical resurrection will take ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"Parousia is a correctly used theological term and proper noun, referring to the Second Coming of Christ."
11,38,deathuses,... non-religious beliefs about life after **deathuses** relevant examples of Christian and non-...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'death' and 'uses' have been incorrectly merged during PDF-to-text conversion.
12,38,deathuses,... non-religious beliefs about life after **deathuses** several appropriate Christian teachings...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'death' and 'uses' have been incorrectly merged during PDF-to-text conversion.
13,38,deaththe,... non-religious beliefs about life after **deaththe** response is clear and well-structured  ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'death' and 'the' have been incorrectly merged during PDF-to-text conversion.
14,38,deathuses,... non-religious beliefs about life after **deathuses** some relevant examples of Christian and...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'death' and 'uses' have been incorrectly merged during PDF-to-text conversion.
15,38,deathuses,... non-religious beliefs about life after **deathuses** some appropriate Christian teachings in...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'death' and 'uses' have been incorrectly merged during PDF-to-text conversion.
16,38,deaththe,... non-religious beliefs about life after **deaththe** response is mostly clear and adequately...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'death' and 'the' have been incorrectly merged during PDF-to-text conversion.
17,38,deathuses,... non-religious beliefs about life after **deathuses** few relevant examples of Christian and ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'death' and 'uses' have been incorrectly merged during PDF-to-text conversion.
18,38,deathmay,... non-religious beliefs about life after **deathmay** not use appropriate Christian teachings...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'death' and 'may' have been incorrectly merged during PDF-to-text conversion.
19,38,deaththe,... non-religious beliefs about life after **deaththe** response is unclear with minimal struct...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'death' and 'the' have been incorrectly merged during PDF-to-text conversion.
20,39,but,...y argue that religion gives life meaning** but** it is not the only thing that gives lif...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,The absence of a comma before 'but' does not create ambiguity between the two independent clauses.
21,40,non religious,"...edge and understanding of Christian and **non religious** beliefs, teaching and perspectives on t...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"This is a hyphenation issue ('non-religious') which, according to instructions, should be treated as a parsing artifact and not reported."
22,42,and,... instruct Christians to go on pilgrimage** and** it is not considered a duty in Christia...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,The absence of a comma before 'and' does not create ambiguity between the two independent clauses.
23,43,Christiansuses,"...ing of pilgrimage and its importance to **Christiansuses** detailed, relevant examples of Christia...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'Christians' and 'uses' are merged due to a PDF-to-text conversion error.
24,43,Christiansuses,"...age locations and their significance to **Christiansuses** detailed, relevant examples of alternat...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'Christians' and 'uses' are merged due to a PDF-to-text conversion error.
25,43,faithuses,...s demonstrate their commitment to their **faithuses** many appropriate Christian teachings an...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'faith' and 'uses' are merged due to a PDF-to-text conversion error.
