issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,6,coveredthere,"...might provide assistance are removed or **coveredthere** is no access to e-mail, the internet or...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'covered' and 'there' are merged due to a PDF parsing error.
1,6,phonescandidates,"...ccess to e-mail, the internet or mobile **phonescandidates** complete their work independentlyno int...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'phones' and 'candidates' are merged due to a PDF parsing error.
2,6,independentlyno,...le phonescandidates complete their work **independentlyno** interaction with other candidates does ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'independently' and 'no' are merged due to a PDF parsing error.
3,6,occurno,...eraction with other candidates does not **occurno** assistance of any description is provid...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'occur' and 'no' are merged due to a PDF parsing error.
4,6,outside of,...cess evidence they have been developing **outside of** supervised activities.  ### Authenticat...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Outside of' is a commonly accepted idiom in British English and is not an absolute grammatical error.
5,7,are,... The marking scheme for this assessment **are** included in the candidate pack.  All ma...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The singular subject 'The marking scheme' requires the singular verb 'is', not 'are'."
6,11,independently from,...ive you.  It is important that you work **independently from** other candidates and the work produced ...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,'Independently of' is generally preferred over 'independently from' in formal British English.
7,13,providedsummarise,...ve studied in relation to the statement **providedsummarise** the relevant non-religious beliefs and ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'provided' and 'summarise' are merged due to a PDF parsing error.
8,13,studiedany,...etween<br>the two religions you<br>have **studiedany** differences between<br>the two religion...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'studied' and 'any' are merged due to a PDF parsing error, treating '<br>' as a space."
9,13,studiedany,...etween<br>the two religions you<br>have **studiedany** similarities between<br>each religion a...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'studied' and 'any' are merged due to a PDF parsing error, treating '<br>' as a space."
10,13,perspectivesany,...ch religion and the<br>non-religious<br>**perspectivesany** differences between<br>each religion an...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'perspectives' and 'any' have been incorrectly merged due to a PDF parsing error.
11,17,providedan,...applied in the context of the statement **providedan** excellent summary in which knowledge an...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'provided' and 'an' have been incorrectly merged due to a PDF parsing error.
12,17,provideda,...applied in the context of the statement **provideda** good summary in which knowledge and und...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'provided' and 'a' have been incorrectly merged due to a PDF parsing error.
13,17,provideda,...applied in the context of the statement **provideda** satisfactory summary in which knowledge...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'provided' and 'a' have been incorrectly merged due to a PDF parsing error.
14,18,provideda,...applied in the context of the statement **provideda** basic summary of the relevant non-relig...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'provided' and 'a' have been incorrectly merged due to a PDF parsing error.
15,18,provideda,...tanding in the context of the statement **provideda** limited summary of the relevant non-rel...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'provided' and 'a' have been incorrectly merged due to a PDF parsing error.
16,19,studiedeach,...s and perspectives of:the two religions **studiedeach** religion studied and non-religious pers...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'studied' and 'each' have been incorrectly merged due to a PDF parsing error.
17,19,perspectivesthe,...each religion studied and non-religious **perspectivesthe** research is interpreted convincingly an...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'perspectives' and 'the' have been incorrectly merged due to a PDF parsing error.
