issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,6,coveredthere,"...might provide assistance are removed or **coveredthere** is no access to e-mail, the internet or...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'covered' and 'there' have been merged due to a PDF parsing error.
1,6,phonescandidates,"...ccess to e-mail, the internet or mobile **phonescandidates** complete their work independentlyintera...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'phones' and 'candidates' have been merged due to a PDF parsing error.
2,6,independentlyinteraction,...le phonescandidates complete their work **independentlyinteraction** with other candidates does not occurno ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'independently' and 'interaction' have been merged due to a PDF parsing error.
3,6,occurno,...eraction with other candidates does not **occurno** assistance of any description is provid...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'occur' and 'no' have been merged due to a PDF parsing error.
4,11,independently from,...ive you.  It is important that you work **independently from** other candidates and the work produced ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The phrase 'independently from' is a grammatically correct and commonly used construction in British English.
5,12,preassessment,... of A4 written or typed notes from your **preassessment** period work into your non-examination a...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,80,"'Preassessment' is an accepted, albeit less common, spelling of the term, and not an objective error."
6,13,campaigns,...r global charities or organisations who **campaigns** for a human rights issues selected. For...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The plural subject 'organisations' requires the plural verb 'campaign', not 'campaigns'."
7,16,studiednon-religious,"...spectives of the two religions you have **studiednon-religious** perspectivesthe purpose, aims and work ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'studied' and 'non-religious' have been merged due to a PDF parsing error.
8,16,perspectivesthe,"...religions you have studiednon-religious **perspectivesthe** purpose, aims and work of the two chari...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'perspectives' and 'the' have been merged due to a PDF parsing error.
9,27,DeclarationI,...                      |  Authentication **DeclarationI** declare that my work was completed inde...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'Declaration' and 'I' have been merged due to a PDF parsing error.
10,28,YY,...                                 | MM | **YY** |  |  |  |                 | Hours |   ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,YY is a standard abbreviation for 'Year' used as a placeholder in a date format table header.
