issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,5,Writing Written,...of Assessment  ## **Unit 4: Reading and **Writing Written** examination: 1 hour 30 minutes 35% of q...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"This is a parsing artifact where the unit title 'Reading and Writing' is immediately followed by 'Written examination', creating a false redundancy."
1,7,outside of,... specified in this specification. Words **outside of** the specification grammar and vocabular...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"'Outside of' is an acceptable idiom in British English, though 'outside' alone could also be used."
2,7,but,... used that is beyond the defined content** but** that fulfils the task requirements.  Th...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"The conjunction 'but' connects two dependent clauses sharing a subject, so a comma is not grammatically required."
3,9,match-up,...g.<br>Match-up activities: Learners can **match-up** key words in Cymraeg/English with words...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"The phrasal verb 'match up' is typically written as two words, but the hyphenated form is sometimes used in instructional contexts."
4,9,key words,...ch-up activities: Learners can match-up **key words** in Cymraeg/English with words in<br>the...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"Both 'key words' and 'keywords' are acceptable spellings, with 'key words' being a common stylistic choice in educational documents."
5,9,les,...a<br>jugar videojuegos.<br>A mis padres **les**<br>encanta hacer |  {10}---------------...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Les' is a correctly used Spanish pronoun within the provided Spanish example text.
6,13,el ritmo,...música de Galicia porque me gusta mucho **el ritmo**. - 4. I hate the music from the Basque ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'El ritmo' is a correctly used Spanish phrase within the provided Spanish example text.
7,13,Basque country,...l ritmo. - 4. I hate the music from the **Basque country** because it is boring. - 5. I love the m...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,'Basque Country' is a proper noun and requires capitalization of both words.
8,15,discussions around,...ātl'. This also<br>leads to interesting **discussions around** colonisation and the<br>importance of c...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Discussions around' is a common and acceptable idiom in British English.
9,23,able read,...ant to Learners because they need to be **able read** numbers.**  **Below are some examples o...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The infinitive marker 'to' is missing, making the phrase 'able read' grammatically incorrect."
10,24,and,...oftware they use for their presentations** and** so they can justify their choices.     ...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,The omission of a comma before the conjunction 'and' does not create ambiguity or a grammatical error in this context.
11,25,eco-tourism,...vide learners with a reading task about **eco-tourism** in Peru. They then need to imagine they...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The term 'eco-tourism' is correctly hyphenated in the provided text.
12,25,eco-tourism,... need to imagine they are setting up an **eco-tourism** holiday and say what they would include...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The term 'eco-tourism' is correctly hyphenated in the provided text.
13,25,key words,...themes. Encourage learners to highlight **key words** in the bullet points and use this to cr...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,90,"Both 'key words' and 'keywords' are acceptable forms, and the current usage is grammatically correct."
14,24,eco-tourism,... need to imagine they are setting up an **eco-tourism** holiday and say what they would include...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,'Eco-tourism' is a correctly hyphenated compound noun in UK English.
15,25,key words,...themes. Encourage learners to highlight **key words** in the bullet points and use this to cr...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"'Key words' as two separate words is an acceptable and common spelling in UK English, particularly when 'key' functions as an adjective."
