issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,7,e-mail,"factual texts such as an **e-mail**, poster, web page, letter, newspaper article, flyer, graph or advert",ErrorCategory.STYLISTIC_PREFERENCE,90,"In British English, 'email' is generally preferred over 'e-mail' in formal writing. (OED)"
1,9,Cymraeg/ English,Treasure hunt: give learners sentences in **Cymraeg/ English** and have the Spanish<br>translation around the room.,ErrorCategory.CONSISTENCY_ERROR,95,The document consistently uses 'Cymraeg/English' without a space after the slash elsewhere. This instance should match.
2,9,Cymraeg/ English,Add extra challenge by asking them to remember the sentence rather than<br>bring the **Cymraeg/ English** around the room too.,ErrorCategory.CONSISTENCY_ERROR,95,The document consistently uses 'Cymraeg/English' without a space after the slash elsewhere. This instance should match.
3,10,"activities, however include","Provide learners with gap-fill **activities, however include** more possible answers than gaps. These tasks can be used to focus on a particular grammatical element such as the agreement of adjectives.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This is a comma splice; 'however' is a conjunctive adverb and requires a semicolon before it when joining two independent clauses, or it should start a new sentence."
4,15,"communities, Texts","Centres may wish to ensure that they choose texts from<br>different Spanish-speaking countries to ensure learners<br>engage with a broad range of cultures and **communities,<br>Texts** will include people from a diverse range of backgrounds<br>including Black, Asian and ethnic minority backgrounds.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This is a comma splice, incorrectly joining two independent clauses without a coordinating conjunction or appropriate punctuation."
5,15,Spanish speaking,"When looking at Spanish words from across the **Spanish<br>speaking** community, centres can highlight words that have<br>been taken from indigenous communities.",ErrorCategory.STYLISTIC_PREFERENCE,85,The compound adjective 'Spanish-speaking' should be hyphenated when modifying 'community' in British English.
6,15,pen pal,Learners may engage with Spanish-speakers through **pen pal**<br>programmes.,ErrorCategory.STYLISTIC_PREFERENCE,85,The compound noun 'pen-pal' is typically hyphenated in British English.
7,18,Themes,"# <span id=""page-17-0""></span>**Curriculum for Wales Strands Cross-cutting **Themes** Local, National & International Contexts, and Sustainability **There are many opportunities to include Local, National & International Contexts and Sustainability in GCSE Spanish.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A colon is required after 'Themes' to correctly introduce the subsequent list of cross-cutting themes.
8,18,Sustainability,"Local, National & International Contexts, and **Sustainability** **There are many opportunities to include Local, National & International Contexts and Sustainability in GCSE Spanish. These opportunities are important to Learners because they will be engaging with texts from the Spanish-speaking world.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A full stop is required after 'Sustainability' to correctly end the introductory statement before the next bolded sentence begins.
9,18,Learners,These opportunities are important to **Learners** because they will be engaging with texts from the Spanish-speaking world. They will then use these texts as a springboard to write about themselves.,ErrorCategory.CONSISTENCY_ERROR,90,"The term 'Learners' is inconsistently capitalised; it should be 'learners' to match other instances in the document (e.g., page 17)."
