issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,c,| Candidate Assessment Pack                 | **c** |,ErrorCategory.FACTUAL_INACCURACY,98,The entry 'c' in the page number column is not a valid page number and is likely an uncorrected placeholder or OCR error.
1,5,Patria is a Spanish dramatic novel written in 2016 by Fernando Aramburu and Toni Fejzula.,"**Title:** **Patria is a Spanish dramatic novel written in 2016 by Fernando Aramburu and Toni Fejzula.**

**Broad Theme:** Language for leisure and wellbeing.",ErrorCategory.FACTUAL_INACCURACY,98,"Fernando Aramburu wrote the novel *Patria*. Toni Fejzula is the illustrator of the graphic novel adaptation, not a co-author of the original novel. The phrasing conflates the novel and its adaptation and misattributes authorship."
2,5,from Gipuzkoa,"The novel is set in a small rural village **from Gipuzkoa**, Basque Country where the Euskadi Ta Askatasuna (ETA) established their totalitarian regime.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The correct preposition for a location in this context is 'in', not 'from'."
3,5,established their totalitarian regime,"The novel is set in a small rural village from Gipuzkoa, Basque Country where the Euskadi Ta Askatasuna (ETA) **established their totalitarian regime**.",ErrorCategory.FACTUAL_INACCURACY,95,"ETA was a terrorist organisation, not a governing body that established a totalitarian regime. This phrasing is an overstatement and factually inaccurate."
4,6,Isabella Allende,**Title:** *Inés del Alma Mía* by **Isabella Allende**.,ErrorCategory.SPELLING_ERROR,98,"The correct spelling of the author's first name is 'Isabel', not 'Isabella'."
5,6,conquista,This novel is based on the historical character Inés Suarez who was involved in the **conquista** of Chile.,ErrorCategory.SPELLING_ERROR,95,"In an English sentence, the English term 'conquest' should be used instead of the Spanish 'conquista'."
6,6,Erika. L. Sánchez,**Title:** *Yo No Soy Tu Perfecta Hija Mexicana* by **Erika. L. Sánchez**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The period after 'Erika' is a formatting error. It should be 'Erika L. Sánchez'.
7,7,use,"• **use** knowledge of vocabulary and grammar to communicate meaningfully, using more complex structures which reference past, present and future events where appropriate.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Bullet points should consistently begin with a capital letter for proper sentence structure.
8,7,WJEC marked,This is a **WJEC marked** (external) non-examination assessment.,ErrorCategory.STYLISTIC_PREFERENCE,85,"As a compound adjective modifying 'non-examination assessment', 'WJEC-marked' should be hyphenated for clarity."
9,7,The assessment lasts for 1 hour 15% of qualification 45 marks,The assessment lasts for 1 hour **15% of qualification 45 marks**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,This is a run-on sentence lacking proper punctuation and conjunctions to clearly separate the distinct pieces of information.
10,7,internet,"Where tasks are produced digitally, online dictionaries, spelling and grammar checking programmes and access to **internet** must be disabled.",ErrorCategory.CONSISTENCY_ERROR,90,'Internet' is generally treated as a proper noun and should be capitalised in formal writing.
11,8,declaration form,Centres must keep a record of the date on which the assessment is conducted including the name of the work studied on the Candidate and Centre **declaration form** below.,ErrorCategory.CONSISTENCY_ERROR,90,"As a specific document title, 'Declaration Form' should be consistently capitalised, aligning with its later usage as 'Candidate and Centre Declaration Form'."
12,8,outside of,Centres must have in place systems to ensure candidates cannot access evidence they have been developing **outside of** supervised activities.,ErrorCategory.STYLISTIC_PREFERENCE,80,'Outside' is sufficient; the preposition 'of' is redundant in this context.
13,9,is,The acceptable formats for evidence of each of the tasks **is** summarised in the task tables.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,Subject-verb agreement error: the plural subject 'formats' requires the plural verb 'are'.
14,9,candidate cover sheet,Centres must ensure that a **candidate cover sheet** (included in the candidate assessment pack) is completed for every candidate and attached to the front of the candidate's work.,ErrorCategory.STYLISTIC_PREFERENCE,85,"As a compound adjective modifying 'sheet', 'candidate-cover sheet' should be hyphenated for improved readability and clarity."
15,9,candidate declaration form,Centres must also ensure that candidates complete a **candidate declaration form**; these are included in the candidate assessment pack.,ErrorCategory.CONSISTENCY_ERROR,90,"As a specific document title, 'Candidate Declaration Form' should be consistently capitalised, aligning with its usage elsewhere in the document."
16,9,time Sheet,Notes on the completion of the **time Sheet** and Candidate Declaration Form,ErrorCategory.CONSISTENCY_ERROR,90,"For consistency with 'Candidate Declaration Form' and other specific document titles, 'Time Sheet' should be capitalised."
17,9,Candidate's,"- The form must be completed and securely attached to the **Candidate's** work, and sent to the awarding body",ErrorCategory.CONSISTENCY_ERROR,90,"'Candidate' should be lowercase when used as a common noun, consistent with general usage and other instances in the document."
18,9,Qualifications,You should refer to the JCQ Instructions for conducting non-examination assessment for further information on managing assessment within our GCSE **Qualifications**.,ErrorCategory.CONSISTENCY_ERROR,90,"'Qualifications' should be lowercase when referring to the general type of qualification, consistent with WJEC's typical style."
