issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,Approved,- [Made for Wales GCSE Qualification Approval Criteria](https://qw-website-prod-master.azurewebsites.net/media/t1lhpbwl/made-for-wales-gcse-qualification-approval-criteria.pdf) which set out requirements for any new GCSE qualification **Approved** for first teaching from September 2025 and beyond.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The word 'Approved' should be lowercase 'approved' as it is a past participle modifying 'qualification' within a sentence, not a proper noun or the start of a new sentence."
1,3,subject specific,- Approval Criteria for GCSE [Spanish](https://qualifications.wales/media/r2tnhbqj/gcse-spanish-approval-criteria.pdf) which sets out the **subject specific** requirements for GCSE Spanish qualifications from September 2025 and beyond.,ErrorCategory.STYLISTIC_PREFERENCE,85,The compound adjective 'subject specific' should be hyphenated as 'subject-specific' when preceding the noun it modifies ('requirements') for clarity in British English.
2,4,for,| 3.2 | Assessment objectives and weightings | 20 | |<br>| | 3.2 | Overview **for** arrangements for non-examination assessment (NEA) | 21 | |,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The preposition 'of' is typically used with 'overview' to indicate the subject being overviewed, rather than 'for'."
3,6,subject specific,"...and those **subject specific** skills and concepts outlined in the ['Designing your] [Curriculum'] section of the Languages, Literacy and Communication Area of Learning and Experiences.",ErrorCategory.STYLISTIC_PREFERENCE,88,The compound adjective 'subject-specific' is typically hyphenated in British English for clarity and consistency.
4,6,",","- supporting the statements of what **matters[1](#page-5-3) ,** giving learners the opportunity to:",ErrorCategory.STYLISTIC_PREFERENCE,85,"In formal writing, a citation typically follows punctuation, or the punctuation should be placed after the citation if it is part of the sentence structure. Placing the citation before the comma is stylistically awkward."
5,6,ensure,- **ensure** that knowledge and skills in one language are transferred to and developed in other languages,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"As a bullet point following 'giving learners the opportunity to:', the infinitive marker 'to' is implied but should be explicitly stated for grammatical completeness and clarity in formal documentation."
6,6,in order to,"- use languages **in order to** be effective as they interact, explore ideas, express viewpoints, knowledge and understanding",ErrorCategory.STYLISTIC_PREFERENCE,80,"'In order to' can often be replaced by the more concise 'to' without loss of meaning, improving readability and conciseness."
7,7,reoccurring,"It will allow teachers to deliver the vocabulary through their own engaging and motivating topics, using language in a natural and **reoccurring** way.",ErrorCategory.STYLISTIC_PREFERENCE,85,The term 'recurring' is generally preferred over 'reoccurring' in formal British English for something happening repeatedly. (OED)
8,8,specific as possible,Language used should be **specific as possible**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The phrase requires 'as' before 'specific' to form the correct comparative structure 'as specific as possible'.
9,8,up to date,WJEC will inform centres of any amendments and the most **up to date** version of the specification will always be on the website.,ErrorCategory.STYLISTIC_PREFERENCE,90,"When 'up to date' functions as a compound adjective preceding a noun (e.g., 'up-to-date version'), it should be hyphenated in British English for clarity and consistency. (OED)"
10,10,Equal but no additional credit,Equal but no additional credit will be given for learners who use vocabulary outside the specified list in productive tasks.,ErrorCategory.STYLISTIC_PREFERENCE,85,"The phrasing 'Equal but no additional credit' is awkward and can be rephrased for clarity, for example, 'No additional credit will be given for learners who use vocabulary outside the specified list in productive tasks; however, such usage will not be penalised.'"
11,12,"Appendix A,","The expected spoken language will be from the specified content (the grammar and sound-spelling correspondence in **Appendix A,** and the vocabulary in **Appendix B**).",ErrorCategory.STYLISTIC_PREFERENCE,90,"In British English, a comma is generally not used before 'and' in a simple list of two items, unless ambiguity would otherwise arise. The comma after 'Appendix A' is superfluous here."
12,15,"lists; in this case teachers will need to ensure that learners understand the general message, learners are not expected to understand every word, the purpose is to be able to write about the work they have studied.","It is likely that some works will contain words that are outside of the vocabulary lists; in this case teachers will need to ensure that learners understand the general message, **learners are not expected to understand every word, the purpose is to be able to write about the work they have studied.**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"This sentence contains multiple independent clauses joined by commas without appropriate conjunctions, creating a comma splice."
