issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,1,well deserved,Welcome back! We hope you enjoyed a **well deserved** break over the summer.,ErrorCategory.STYLISTIC_PREFERENCE,90,Compound adjective 'well-deserved' should be hyphenated when preceding the noun it modifies.
1,1,TASK BASED,## **TASK BASED** ASSESSMENT UNIT,ErrorCategory.STYLISTIC_PREFERENCE,90,Compound adjective 'Task-Based' should be hyphenated when preceding the noun it modifies.
2,1,task based,The dates for the **task based** assessments are: Monday 3 November – Friday 19 December 2025.,ErrorCategory.STYLISTIC_PREFERENCE,90,Compound adjective 'task-based' should be hyphenated when preceding the noun it modifies.
3,1,Task Based Assessment Unit,For both the Practical Assessment Unit and the **Task Based Assessment Unit** please ensure that provisional entries are submitted promptly.,ErrorCategory.STYLISTIC_PREFERENCE,90,Compound adjective 'Task-Based' should be hyphenated in the unit title for consistency and clarity.
4,1,it is vital it is,This information will be used to despatch examination papers to centres so **it is vital it is** as accurate as possible.,ErrorCategory.STYLISTIC_PREFERENCE,85,The repetition of 'it is' can be improved for better flow; 'so it is vital that it is as accurate as possible' or 'so its accuracy is vital' would be clearer.
5,1,opportunities,## Autumn Term Professional Learning **opportunities**,ErrorCategory.CONSISTENCY_ERROR,90,"For consistency with other headings and formal titles, 'Opportunities' should be capitalised."
6,1,FREE,"You can download the most recent Principal Examiner Reports and register for **FREE**, online feedback events on your qualification page.",ErrorCategory.STYLISTIC_PREFERENCE,80,"Using all caps for 'FREE' is generally avoided in formal writing unless for specific emphasis, standard casing 'free' is preferred."
7,1,summer 2025 series,"Free online assessment feedback sessions based on the **summer 2025 series** are being held in November for Biology, Chemistry and Physics.",ErrorCategory.CONSISTENCY_ERROR,90,"For consistency with 'Autumn Term', 'Summer' should be capitalised when referring to a specific academic series."
8,1,opportunities,Here are some key dates for your diaries including information on upcoming Professional Learning **opportunities**.,ErrorCategory.CONSISTENCY_ERROR,90,"For consistency with other headings and formal titles, 'Opportunities' should be capitalised."
9,2,before start of study,To support you to provide<br>information to parents and<br>learners **before start of study**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A definite article 'the' is missing before 'start of study'.
10,2,2nd half autumn term,Available **2nd half autumn term**<br>2025.,ErrorCategory.STYLISTIC_PREFERENCE,85,"'2nd' should be written out as 'second' in formal text, and 'Autumn Term' should be capitalised for consistency."
11,2,English medium and Welsh medium,There will be **English medium and Welsh medium**<br>events (except for English and<br>Welsh qualifications).,ErrorCategory.STYLISTIC_PREFERENCE,90,"As compound adjectives, 'English-medium' and 'Welsh-medium' should be hyphenated."
12,2,face-to face,* Preparing to Teach (**face-to<br>face**)<br>Available from 09/02/26 to<br>27/03/26,ErrorCategory.SPELLING_ERROR,95,The compound adjective should be 'face-to-face'.
13,2,Pan Wales,Registrations for the **Pan Wales**<br>INSET days will be collected via<br>your head teacher.,ErrorCategory.STYLISTIC_PREFERENCE,90,"As a compound adjective, 'Pan-Wales' should be hyphenated."
14,2,head teacher,Registrations for the Pan Wales<br>INSET days will be collected via<br>your **head teacher**.,ErrorCategory.STYLISTIC_PREFERENCE,90,The compound noun 'headteacher' is typically written as one word in British English.
15,2,Welsh medium days,"held across Wales, including 2<br>**Welsh medium days** and 1<br>bilingual day.",ErrorCategory.STYLISTIC_PREFERENCE,90,"As a compound adjective, 'Welsh-medium' should be hyphenated."
16,2,head teacher/head of centre,Registrations will<br>be collected via your **head teacher/head of centre**.,ErrorCategory.STYLISTIC_PREFERENCE,90,The compound noun 'headteacher' is typically written as one word in British English.
17,2,Walk-throughs,Exam and NEA **Walk-throughs**<br>Available summer Term 2026,ErrorCategory.STYLISTIC_PREFERENCE,85,The compound noun 'walkthroughs' is more commonly written as one word.
18,2,summer Term,Exam and NEA Walk-throughs<br>Available **summer Term** 2026,ErrorCategory.CONSISTENCY_ERROR,90,"For consistency with 'Autumn Term', 'Summer' should be capitalised when referring to a specific academic term."
19,3,which exists,The central issue with the current terminology is the inconsistency **which exists** between:,ErrorCategory.STYLISTIC_PREFERENCE,80,"In a restrictive clause, 'that' is generally preferred over 'which' in formal British English."
20,3,which doesn't form,'Buanedd' is an old historical term **which doesn't form** part of everyday language.,ErrorCategory.STYLISTIC_PREFERENCE,80,"In a restrictive clause, 'that' is generally preferred over 'which' in formal British English."
21,3,which encompass,"This inconsistency confuses pupils, especially as they move from primary to secondary education or in resources or activities **which encompass** both periods.",ErrorCategory.STYLISTIC_PREFERENCE,80,"In a restrictive clause, 'that' is generally preferred over 'which' in formal British English."
22,3,as to which term to use,"The recent national numeracy tests are such an example, where a decision has to be made **as to which term to use**, with these tests being given to primary and secondary pupils.",ErrorCategory.STYLISTIC_PREFERENCE,85,The phrase 'as to which' is often redundant; 'on which term to use' or 'which term to use' would be more concise.
23,3,despite the fact that,This problem will continue **despite the fact that** changes will be coming to these tests over the next few years.,ErrorCategory.STYLISTIC_PREFERENCE,85,The phrase 'despite the fact that' is wordy; 'despite changes coming' or 'even though changes will be coming' would be more concise.
24,3,that is keeping,It would follow modern terminology principles (**that is keeping** familiar words for familiar concepts),ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is required after the introductory phrase 'that is'.
25,3,"therefore, 'cyflymder'","Based on the recommendations of Canolfan Bedwyr **therefore, 'cyflymder'** (speed) and 'felosedd' (velocity) will be used in the following new qualifications:",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is required after 'therefore' when it acts as an introductory adverb.
26,3,double award,- GCSE Mathematics and Numeracy (**double award**) specification teaching from 2025,ErrorCategory.CONSISTENCY_ERROR,90,"For consistency with the official qualification title 'The Sciences (Double Award)' on page 1, 'Double Award' should be capitalised."
27,3,double award,- GCSE The Sciences (**double award**) teaching from 2026,ErrorCategory.CONSISTENCY_ERROR,90,"For consistency with the official qualification title 'The Sciences (Double Award)' on page 1, 'Double Award' should be capitalised."
