issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,Approved,- [Made for Wales GCSE Qualification Approval Criteria](https://qw-website-prod-master.azurewebsites.net/media/t1lhpbwl/made-for-wales-gcse-qualification-approval-criteria.pdf) which set out requirements for any new GCSE qualification **Approved** for first teaching from September 2025 and beyond.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The word 'Approved' functions as a descriptive adjective/participle in this context and should be lowercase 'approved', as it is not a proper noun or the start of a sentence."
1,6,D Foundation,"Higher Tier: A* – **D Foundation** Tier: C – G

Learners may be entered at different tiers across units.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Two independent clauses are presented on the same line without proper punctuation or conjunction, creating a run-on sentence. A semicolon or full stop is required to separate 'Higher Tier: A* – D' and 'Foundation Tier: C – G'."
2,6,available,"Units 1, 2 and 3 will be available for the first time in summer 2027, and each summer thereafter. Units 4, 5 and 6 **available** for the first time in summer 2028, and each summer thereafter. Unit 7 will be available in the spring term from 2028 and each spring term thereafter.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The auxiliary verb 'will be' is missing, leading to an incomplete sentence structure. It should read 'Units 4, 5 and 6 will be available...'."
3,8,The construct of GCSE The Sciences (Double Award) qualification is to:,"The **construct of GCSE The Sciences (Double Award) qualification is to**:

- explain phenomena scientifically to demonstrate how the world works
- construct and evaluate designs for scientific enquiry and interpret scientific data and evidence critically",ErrorCategory.STYLISTIC_PREFERENCE,80,The phrasing 'The construct... is to' is slightly awkward; 'The design/purpose of the qualification is to' would be clearer and more natural in formal writing.
4,9,specific as possible,Language used should be **specific as possible**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The comparative phrase requires 'as' before 'specific'; it should be 'as specific as possible'.
5,9,up to date,WJEC will inform centres of any amendments and the most **up to date** version of the specification will always be on the website.,ErrorCategory.STYLISTIC_PREFERENCE,90,"When used as a compound adjective before a noun ('up to date version'), 'up-to-date' should be hyphenated in British English."
6,12,documents,Teachers should refer to Guidance for Teaching **documents** for further guidance on the depth and breadth to which this content should be taught.,ErrorCategory.CONSISTENCY_ERROR,95,"The term 'Guidance for Teaching document' is used in the singular on page 11, creating an inconsistency with the plural usage here."
7,12,sub bullets,"If **sub bullets** are used, this indicates that the content given must be further developed.",ErrorCategory.STYLISTIC_PREFERENCE,85,"Compound noun 'sub-bullets' is typically hyphenated in formal British English for clarity and consistency (e.g., Oxford English Dictionary)."
8,15,•,"#### Learners should know:

**•** *substances such as oxygen, carbon dioxide, water and glucose must move in and out of cells to keep cells alive*.",ErrorCategory.CONSISTENCY_ERROR,95,"The document consistently uses hyphens (-) for bullet points, but an asterisk (•) is used here, creating an inconsistency."
9,16,effect,Learners should be able to:<br>investigate how different factors **effect** enzyme activity.,ErrorCategory.SPELLING_ERROR,95,'Effect' is used incorrectly as a verb; 'affect' is the correct verb to mean 'to influence' in this context.
10,18,that different foods have different energy contents.,• the function of bile in the digestion of fats<br>• ***that different foods have different energy contents.***,ErrorCategory.CONSISTENCY_ERROR,80,"This bullet point is italicised, which is inconsistent with all other bullet points in the 'Learners should know' sections that are not italicised."
11,18,research,how the human gut harbours more than 1000 species of microbes that make up the human gut microbiome. **research** into the importance of the human gut microbiome on physical and mental health is ongoing.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The word 'research' should be capitalised as it begins a new sentence following a full stop.
12,18,vena,"pulmonary artery, pulmonary vein, aorta and **vena**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The sentence ends abruptly with a fragment, indicating missing words or an incomplete thought (e.g., 'vena cava')."
