Subject,Filename,Page,Rule ID,Type,Issue,Message,Suggestions,Highlighted Context
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,17,MORFOLOGIK_RULE_EN_GB,misspelling,question-andanswer,Possible spelling mistake found.,question-and answer,"...ow approval by clapping, there may be a **question-andanswer** session at the end). Because of this, l..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,20,MORFOLOGIK_RULE_EN_GB,misspelling,whateva,Possible spelling mistake found.,"whatever, whatcha",...et unexpectedly while out shopping  - 1 **whateva** garage you go to drivers are bothered a...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,20,MORFOLOGIK_RULE_EN_GB,misspelling,wha,Possible spelling mistake found.,"WHA, who, what (+1089 more)",...ge you go to drivers are bothered about **wha**'s going in their tanks there's somethin...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,20,MORFOLOGIK_RULE_EN_GB,misspelling,defo,Possible spelling mistake found.,"demo, defy, deft (+8 more)",...s somethin' wrong with the fuel there's **defo** somethin' wrong - 5 hundred per cent ma...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,22,MORFOLOGIK_RULE_EN_GB,misspelling,Breaktime,Possible spelling mistake found.,Break time,... playscript aloud |  |  |  |  |  |  | | **Breaktime** chat with work colleagues |  |  |  |  |...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,23,MORFOLOGIK_RULE_EN_GB,misspelling,prosodics,Possible spelling mistake found.,"prosodic, prosodies","..., and the use of pauses. This is called **prosodics**.  Transcripts look very different to tr..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,25,MORFOLOGIK_RULE_EN_GB,misspelling,latch-ons,Possible spelling mistake found.,walk-ons,...* it he's (.) **made** it  COMMENT: the **latch-ons** are cooperative because the speakers ar...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,25,MORFOLOGIK_RULE_EN_GB,misspelling,Micropauses,Possible spelling mistake found.,Micropause,...eaker stops speaking before continuing. **Micropauses** are very brief intervals marked by (.) ...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,25,MORFOLOGIK_RULE_EN_GB,misspelling,micropauses,Possible spelling mistake found.,micropause,...well and **truly** on now  COMMENT: the **micropauses** function as markers for the end of simp...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,25,MORFOLOGIK_RULE_EN_GB,misspelling,ll,Possible spelling mistake found.,"LL, all, ill (+95 more)",...g specific actions in the tennis match (**ll**.1-2) and the commentator's evaluation o...
