Subject,Filename,Page,Rule ID,Type,Issue,Message,Suggestions,Highlighted Context,Pass Code
Art-and-Design,gcse-art-and-design---delivery-guide.md,11,COMMA_COMPOUND_SENTENCE,uncategorized,and,Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,", and",...pected to demonstrate in their responses** and** they are then used in marking the work....,LT
Art-and-Design,gcse-art-and-design---delivery-guide.md,14,SPACE_BEFORE_PARENTHESIS,typographical,(,It appears that a white space is missing.,(,...---------| | First assessment for Unit 1**(**internal assessment)  | Summer 2027  | |...,LT
Art-and-Design,gcse-art-and-design---faqs.md,3,EN_COMPOUNDS_USER_FRIENDLY,misspelling,user friendly,This word is normally spelled with a hyphen.,user-friendly,...st challenging - will this be made more **user friendly**?**  A: There is no longer a separate 'c...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,7,WHETHER,style,whether or not,"Consider shortening this phrase to just ‘whether’, unless you mean ‘regardless of whether’.",whether,"... skills to negotiate a creative future, **whether or not** they continue to study Art and Design.<...",LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,13,COMMA_COMPOUND_SENTENCE,uncategorized,or,Use a comma before ‘or’ if it connects two independent clauses (unless they are closely connected and short).,", or",...niques that they are knowledgeable about** or** they might be delivered by outside agen...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,16,MORFOLOGIK_RULE_EN_GB,misspelling,drawingdrawing,Possible spelling mistake found.,drawing drawing,"...could be considered, for example:figure **drawingdrawing** from a musical sourcemachine drawing Co...",LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,16,MORFOLOGIK_RULE_EN_GB,misspelling,sourcemachine,Possible spelling mistake found.,source machine,...le:figure drawingdrawing from a musical **sourcemachine** drawing Colossal articledigital drawing...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,16,MORFOLOGIK_RULE_EN_GB,misspelling,articledigital,Possible spelling mistake found.,article digital,... musical sourcemachine drawing Colossal **articledigital** drawingworking drawingsfound drawings |...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,16,MORFOLOGIK_RULE_EN_GB,misspelling,drawingworking,Possible spelling mistake found.,drawing working,...machine drawing Colossal articledigital **drawingworking** drawingsfound drawings |               ...,LT
Art-and-Design,gcse-art-and-design---guidance-for-teaching.md,16,MORFOLOGIK_RULE_EN_GB,misspelling,drawingsfound,Possible spelling mistake found.,drawings found,... Colossal articledigital drawingworking **drawingsfound** drawings |                             ...,LT
