Subject,Filename,issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
Art-and-Design,gcse-art-and-design---delivery-guide.csv,0,10,and,...pected to demonstrate in their responses** and** they are then used in marking the work....,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,Comma before 'and' is optional for clarity but not required for correctness.
Art-and-Design,gcse-art-and-design---delivery-guide.csv,1,13,(,...---------| | First assessment for Unit 1**(**internal assessment)  | Summer 2027  | |...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,Missing space before the opening parenthesis.
Art-and-Design,gcse-art-and-design---faqs.csv,0,2,user friendly,...st challenging - will this be made more **user friendly**?**  A: There is no longer a separate 'c...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'User friendly' is a correct and widely accepted compound adjective in UK English.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,0,6,whether or not,"... skills to negotiate a creative future, **whether or not** they continue to study Art and Design. ...",PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,The phrase 'whether or not' is grammatically correct and stylistically acceptable in this context.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,1,12,or,...niques that they are knowledgeable about** or** they might be delivered by outside agen...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"The comma before 'or' is optional and does not impact clarity, making this a stylistic preference."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,2,15,outside of,...ers' work. Many learners have interests **outside of** the classroom into which they can be im...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,"The phrase 'outside of' is often considered a parsing error in formal writing, with 'outside' being the preferred form."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,3,15,and,...ey can be immersed for their Unit 1 work** and** it might be in the skill of the teacher...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,75,"The comma before 'and' is optional and does not impact clarity, making this a stylistic preference."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,4,18,two dimensional,... across Pathways and provision made for **two dimensional** as well as three dimensional work shoul...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,'Two dimensional' is correctly hyphenated as a compound adjective in this context.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,5,18,three dimensional,...ion made for two dimensional as well as **three dimensional** work should be made. Every effort shoul...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,'Three dimensional' is correctly hyphenated as a compound adjective in this context.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,6,21,workrelated,...ponses to potential career pathways and **workrelated** experiences. Opportunities should be gi...,PassCode.LTC,ErrorCategory.PARSING_ERROR,85,'Workrelated' should be hyphenated as 'work-related' for clarity and correctness.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,7,22,selfimposed,"...nd identify something to work on with a **selfimposed** deadline, giving experience of decision...",PassCode.LTC,ErrorCategory.PARSING_ERROR,85,'Selfimposed' should be hyphenated as 'self-imposed' for clarity and correctness.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,8,22,selfdiscipline,...iving experience of decision making and **selfdiscipline**.  #### **Teacher formative feedback [JC...,PassCode.LTC,ErrorCategory.PARSING_ERROR,85,'Selfdiscipline' should be hyphenated as 'self-discipline' for clarity and correctness.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,9,23,Salon des Refuses,...liam Blake - The Impressionists and the **Salon des Refuses** - Gwen John: amongst men - The avant-ga...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Salon des Refuses' is a proper noun and correctly spelled as is.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,10,24,workrelated,...ponses to potential career pathways and **workrelated** experiences.  Each of the pathways with...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,Missing hyphen in compound adjective 'work-related'.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,11,26,centres,...e likely to use digital technology at a **centres** discretion.  Digital technology is appl...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,Missing apostrophe in 'centres' (should be 'centre's').
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,12,27,webbased,"...ned focus period, candidates can access **webbased** software applications, however no other...",PassCode.LTC,ErrorCategory.PARSING_ERROR,90,Missing hyphen in compound adjective 'web-based'.
