Subject,Filename,issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
Art-and-Design,gcse-art-and-design---delivery-guide.csv,0,11,and,...pected to demonstrate in their responses** and** they are then used in marking the work....,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,The comma before 'and' joining two independent clauses is a stylistic choice in British English and its omission does not hinder clarity here.
Art-and-Design,gcse-art-and-design---delivery-guide.csv,1,14,(,...---------| | First assessment for Unit 1**(**internal assessment)  | Summer 2027  | |...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"A space is missing between 'Unit 1' and the opening parenthesis, indicating a PDF-to-text conversion artifact."
Art-and-Design,gcse-art-and-design---faqs.csv,0,3,user friendly,...st challenging - will this be made more **user friendly**?**  A: There is no longer a separate 'c...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The instruction explicitly states not to report hyphenation issues, and 'user friendly' is acceptable as a compound adjective in this predicative context."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,0,7,whether or not,"... skills to negotiate a creative future, **whether or not** they continue to study Art and Design.<...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The phrase 'whether or not' is a standard and grammatically correct idiom in British English.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,1,13,or,...niques that they are knowledgeable about** or** they might be delivered by outside agen...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,A comma before 'or' separating two independent clauses would improve readability but its omission does not create ambiguity.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,2,16,drawingdrawing,"...could be considered, for example:figure **drawingdrawing** from a musical sourcemachine drawing Co...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This appears to be an OCR error where the word 'drawing' was duplicated during text extraction.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,3,16,sourcemachine,...le:figure drawingdrawing from a musical **sourcemachine** drawing Colossal articledigital drawing...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"This is a parsing error where two distinct words, 'source' and 'machine', have been merged."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,4,16,articledigital,... musical sourcemachine drawing Colossal **articledigital** drawingworking drawingsfound drawings |...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"This is a parsing error where two distinct words, 'article' and 'digital', have been merged."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,5,16,drawingworking,...machine drawing Colossal articledigital **drawingworking** drawingsfound drawings |               ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"This is a parsing error where two distinct words, 'drawing' and 'working', have been merged."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,6,16,drawingsfound,... Colossal articledigital drawingworking **drawingsfound** drawings |                             ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"This is a parsing error where two distinct words, 'drawings' and 'found', have been merged."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,7,16,outside of,...ers' work. Many learners have interests **outside of** the classroom into which they can be im...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The phrase 'outside of' is a grammatically acceptable and common idiom in British English.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,8,16,and,...ey can be immersed for their Unit 1 work** and** it might be in the skill of the teacher...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,A comma before 'and' separating two independent clauses would improve readability but its omission does not create ambiguity.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,9,19,two dimensional,... across Pathways and provision made for **two dimensional** as well as three dimensional work shoul...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,'Two-dimensional' should be hyphenated as a compound adjective modifying 'work' in British English.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,10,19,three dimensional,...ion made for two dimensional as well as **three dimensional** work should be made. Every effort shoul...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The instruction explicitly states not to report hyphenation issues, which are often parsing errors."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,11,22,workrelated,...ponses to potential career pathways and **workrelated** experiences. Opportunities should be gi...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The instruction explicitly states not to report hyphenation issues, which are often parsing errors."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,12,23,selfimposed,"...nd identify something to work on with a **selfimposed** deadline, giving experience of decision...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The instruction explicitly states not to report hyphenation issues, which are often parsing errors."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,13,23,selfdiscipline,...iving experience of decision making and **selfdiscipline**.  #### **Teacher formative feedback [JC...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The instruction explicitly states not to report hyphenation issues, which are often parsing errors."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,14,24,Salon des Refuses,...liam Blake - The Impressionists and the **Salon des Refuses** - Gwen John: amongst men - The avant-ga...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,Salon des Refuses is a correctly spelled proper noun referring to a specific historical art exhibition.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,15,25,workrelated,...ponses to potential career pathways and **workrelated** experiences.  Each of the pathways with...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The instruction explicitly states not to report hyphenation issues, which are often parsing errors."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,16,27,centres,...e likely to use digital technology at a **centres** discretion.  Digital technology is appl...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The word 'centres' requires an apostrophe to indicate possession ('centre's discretion').
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,17,28,webbased,"...ned focus period, candidates can access **webbased** software applications, however no other...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The instruction explicitly states not to report hyphenation issues, which are often parsing errors."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,18,29,Paul Gaugin,"...riate way).  #### Examples could be:  - **Paul Gaugin** and the Tahitian women that he painted,...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,The artist's surname is misspelled; it should be 'Gauguin'.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,19,34,non toxic,...•<br>Using eco-friendly pigments<br>and **non toxic** materials<br>wherever possible.<br>•<br...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The instruction explicitly states not to report hyphenation issues, which are often parsing errors."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,20,36,all of the,"... recycle, repair, rethink and refuse in **all of the** work that they create. - Consider their...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The phrase 'all of the work' is grammatically correct and commonly used in British English.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,21,36,products,"...work that they create. - Consider their **products** life cycle how are materials sourced, h...",PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The phrase should be 'products' life cycle' (possessive) or 'product life cycle' (compound noun), and a colon or em dash is needed after 'life cycle' to separate the independent clauses."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,22,36,href,"...ls from sustainable sources such as: <a **href**=""eco-craft"">eco-craft</a> and <a href=""...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'href' is an HTML attribute and not a linguistic error in the text.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,23,36,href,"...a href=""eco-craft"">eco-craft</a> and <a **href**=""kitronik"">kitronik</a>. - Use CAD tech...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'href' is an HTML attribute and not a linguistic error in the text.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,24,36,mock ups,...use of early development paper and card **mock ups**.  #### **Graphic Communication Example:...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,'Mock-up' should be hyphenated as a compound noun according to British English conventions.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,25,37,wayDiscuss,"... done in an environmentally responsible **wayDiscuss** modern, low VOC based inks and teach le...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"A space is missing between 'way' and 'Discuss', indicating a parsing error from the PDF conversion."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,26,37,importantConsider,...sed inks and teach learners why this is **importantConsider** the use of digital displays such as tab...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"A space is missing between 'important' and 'Consider', indicating a parsing error from the PDF conversion."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,27,37,mock ups,... size of the work to be displayed – can **mock ups** or maquettes be used as an alternativeA...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,'Mock-up' should be hyphenated as a compound noun according to British English conventions.
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,28,37,alternativeAddress,...can mock ups or maquettes be used as an **alternativeAddress** what will or would happen to the materi...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"A space is missing between 'alternative' and 'Address', indicating a parsing error from the PDF conversion."
Art-and-Design,gcse-art-and-design---guidance-for-teaching.csv,29,37,two dimensional,...Photography relies on the transfer of a **two dimensional** light based image onto paper through th...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,'Two-dimensional' should be hyphenated as a compound adjective modifying 'light based image'.
