Subject,PDFs,Markdown,Pages,Pages_files,Pages_diff
Art-and-Design,8,8,202,202.0,0.0
Business,13,13,422,422.0,0.0
Computer-Science,10,10,344,344.0,0.0
Dance,2,2,34,34.0,0.0
Design-and-Technology,2,2,53,53.0,0.0
Digital-Media-and-Film,2,2,39,39.0,0.0
Digital-Technology,2,2,62,62.0,0.0
Drama,13,13,539,539.0,0.0
English-Language-and-Literature,22,22,793,793.0,0.0
Food-and-Nutrition,19,19,484,484.0,0.0
French,13,13,437,437.0,0.0
Geography,19,20,501,501.0,0.0
German,13,13,438,438.0,0.0
Health-and-Social-Care-and-Childcare,2,2,45,45.0,0.0
History,35,35,1184,1184.0,0.0
Integrated-Science-Single-Award,2,2,53,53.0,0.0
Level-2-Additional-Mathematics,3,3,52,52.0,0.0
Mathematics-and-Numeracy,14,14,419,419.0,0.0
Music,11,11,291,291.0,0.0
Physical-Education-and-Health,2,2,37,37.0,0.0
Religious-Studies,14,14,788,788.0,0.0
Social-Studies,2,2,46,46.0,0.0
Spanish,13,13,428,428.0,0.0
The-Sciences-Double-Award,2,2,85,85.0,0.0
TOTAL,238,239,7776,,
